"";"APR1";"APR10";"APR11";"APR12";"APR13";"APR14";"APR15";"APR16";"APR17";"APR18";"APR19";"APR2";"APR20";"APR3";"APR4";"APR5";"APR6";"APR7";"APR8";"APR9";"AUG1";"AUG10";"AUG11";"AUG12";"AUG13";"AUG14";"AUG15";"AUG16";"AUG17";"AUG18";"AUG19";"AUG2";"AUG20";"AUG3";"AUG4";"AUG5";"AUG6";"AUG7";"AUG8";"AUG9";"DEC1";"DEC10";"DEC11";"DEC12";"DEC13";"DEC14";"DEC15";"DEC16";"DEC17";"DEC18";"DEC19";"DEC2";"DEC20";"DEC3";"DEC4";"DEC5";"DEC6";"DEC7";"DEC8";"DEC9";"FEB1";"FEB10";"FEB11";"FEB12";"FEB13";"FEB14";"FEB15";"FEB16";"FEB17";"FEB18";"FEB19";"FEB2";"FEB20";"FEB3";"FEB4";"FEB5";"FEB6";"FEB7";"FEB8";"FEB9";"JAN1";"JAN10";"JAN11";"JAN12";"JAN13";"JAN14";"JAN15";"JAN16";"JAN17";"JAN18";"JAN19";"JAN2";"JAN20";"JAN3";"JAN4";"JAN5";"JAN6";"JAN7";"JAN8";"JAN9";"JUL1";"JUL10";"JUL11";"JUL12";"JUL13";"JUL14";"JUL15";"JUL16";"JUL17";"JUL18";"JUL19";"JUL2";"JUL20";"JUL3";"JUL4";"JUL5";"JUL6";"JUL7";"JUL8";"JUL9";"JUN1";"JUN10";"JUN11";"JUN12";"JUN13";"JUN14";"JUN15";"JUN16";"JUN17";"JUN18";"JUN19";"JUN2";"JUN20";"JUN3";"JUN4";"JUN5";"JUN6";"JUN7";"JUN8";"JUN9";"MAR1";"MAR10";"MAR11";"MAR12";"MAR13";"MAR14";"MAR15";"MAR16";"MAR17";"MAR18";"MAR19";"MAR2";"MAR20";"MAR3";"MAR4";"MAR5";"MAR6";"MAR7";"MAR8";"MAR9";"MAY1";"MAY10";"MAY11";"MAY12";"MAY13";"MAY14";"MAY15";"MAY16";"MAY17";"MAY18";"MAY19";"MAY2";"MAY20";"MAY3";"MAY4";"MAY5";"MAY6";"MAY7";"MAY8";"MAY9";"NOV1";"NOV10";"NOV11";"NOV12";"NOV13";"NOV14";"NOV15";"NOV16";"NOV17";"NOV18";"NOV19";"NOV2";"NOV20";"NOV3";"NOV4";"NOV5";"NOV6";"NOV7";"NOV8";"NOV9";"OCT1";"OCT10";"OCT11";"OCT12";"OCT13";"OCT14";"OCT15";"OCT16";"OCT17";"OCT18";"OCT19";"OCT2";"OCT20";"OCT3";"OCT4";"OCT5";"OCT6";"OCT7";"OCT8";"OCT9";"SEP1";"SEP10";"SEP11";"SEP12";"SEP13";"SEP14";"SEP15";"SEP16";"SEP17";"SEP18";"SEP19";"SEP2";"SEP20";"SEP3";"SEP4";"SEP5";"SEP6";"SEP7";"SEP8";"SEP9";"total";"kingdom";"phylum";"class";"order";"family";"genus"
"Cyathostomum sp.3 (pateratum)";0;156339;0;0;0;0;0;0;0;3991;15068;0;126692;0;1400;0;311963;18281;0;38044;0;33653;0;0;0;0;0;20689;305900;95754;54989;0;21;0;0;0;180914;174219;2763;313563;5548;2364;0;527;1227;603;162;4279;4248;3715;25921;5637;151361;832;3145;0;39098;17827;114434;77693;0;16686;0;0;0;0;0;119956;18371;133862;110516;0;2285;0;0;0;272;40;320;0;0;8316;0;0;0;0;0;10254;8900;2205;238;0;61574;0;0;0;213525;5379;9266;2735;446;72697;0;0;0;0;0;381317;24610;12944;37;0;181949;0;0;0;1174104;994;20222;11303;12284;18533;0;0;0;0;0;201141;6758;8414;4499;0;283306;0;0;0;59688;43206;196419;116717;0;6016;0;0;0;51;0;1525;17494;771;5106;0;252972;0;0;0;3165;3295;6254;0;0;2252;181509;245544;1848;18771;0;12265;6407;181311;17939;169132;4890;0;0;0;10807;123490;4332;65;292;62698;0;0;13166;848;105;57057;12105;55429;44982;0;53715;0;0;84;18412;725;184428;5861;0;29199;0;0;1076;0;851;604702;105880;28206;3132;860;115621;0;0;389;211933;181522;685764;338376;0;433398;0;0;0;0;0;75688;247349;68667;262709;0;140965;0;0;1498;956740;276053;109509;48392;12584749;"Metazoa";"Nematoda";"Chromadorea";"Strongylida";"Strongyloididae";"Cyathostomum"
"Cyathostomum sp.1 (catinatum)";0;3233;0;0;0;0;0;0;86;71818;1434;0;330125;0;150;0;41170;52186;0;21450;0;50853;0;0;0;0;0;1674;200409;112511;44915;0;11;0;0;0;172377;337093;400;153496;3376;2970;300;526;1106;0;3555;5249;2809;9421;46040;30766;270782;0;0;0;52308;37385;73641;35041;0;7602;0;0;0;0;48;0;1429;11913;109;0;0;152;0;0;298;0;0;651;0;711;0;0;129;0;0;37514;304;840;3244;0;0;0;0;0;71403;8238;6193;3775;0;24951;0;0;0;0;758;109350;6468;20796;0;0;292914;0;0;0;308346;1507;46251;19275;1252;5334;0;0;0;0;0;229077;7240;17160;281;0;181695;0;0;0;188260;8136;66478;22483;0;14317;0;0;0;0;0;0;39931;0;13614;0;13740;0;0;0;1698;4861;0;0;0;4744;127735;36164;188;209058;0;23540;20394;80790;1262;423523;4170;0;0;0;0;497048;677;511;0;18927;0;351;3498;491;232;8657;35712;6790;25971;198;9463;0;0;0;46485;988;102364;17367;0;18204;0;0;428;225;2362;91003;13687;198656;3265;0;106301;0;0;0;212399;85542;257208;93370;0;227692;0;0;0;2586;0;11774;129999;24684;200936;0;381475;0;0;0;294473;111489;77503;43508;8267459;"Metazoa";"Nematoda";"Chromadorea";"Strongylida";"Strongyloididae";"Cyathostomum"
"Psychoda phalaenoides";0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;341;0;276;409;66;24;77301;0;0;0;0;0;0;157241;429;70;0;0;0;0;2249;0;724026;353480;147893;108955;11573;0;0;0;0;28192;0;149;936;19154;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40934;81090;72965;490640;616867;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2593;618;60008;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;380;0;0;0;0;0;2642;0;0;0;0;0;0;103;215;0;0;0;0;0;120;0;227092;252826;106708;989254;491498;0;0;0;0;50189;0;557;0;7670;0;0;0;0;1211;0;441292;132982;29517;304025;643684;0;0;0;0;6881;0;1826;6849;20659;0;0;0;0;6755;0;228;64676;76102;3072;41895;0;0;0;0;1619;0;8007;134514;140;0;0;0;0;7053675;"Metazoa";"Arthropoda";"Insecta";"Diptera";"Psychodidae";"Psychoda"
"Pelodera sp.1 (strongyloides)";0;139;0;0;0;0;40;0;0;0;0;0;0;0;0;0;0;0;0;0;4612;3253;0;2321;13810;4190;22223;0;2642;3062;40;9;0;58266;3176;11729;12989;2143;867;9177;319;0;583;0;784;304;2815;0;0;0;0;1942;0;280;872;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1297;0;0;122;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;0;0;6141;0;65092;153930;5674;36882;3915;3148;257;94;5454;961;2293;607284;33494;17933;256;1358;384327;187660;0;0;0;48186;1531;2715;1446;2080;583003;1348;82028;26991;41561;577;3335;44563;0;0;479012;388280;0;0;0;0;0;0;0;0;0;0;0;0;0;37;37;0;0;0;0;0;16627;569;0;1454;107323;4713;2865;136;23005;9311;478;0;7376;216365;299140;89565;5096;0;322;5986;0;155;0;0;3581;0;3929;0;0;0;0;2796;498;659;0;174;30;0;34;0;1680;159;22343;146;1415;944;144;38706;253;0;0;862;668;0;116;633;0;475;1205;0;1924;4661;329;2276;9772;25416;10133;0;2427;0;977;1611;2445;31180;50620;138946;66160;7258;6060;417;4621487;"Metazoa";"Nematoda";"Chromadorea";"Rhabditida";"Rhabditidae";"Pelodera"
"Aphodius conspurcatus";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;1166227;0;852784;99609;0;16927;0;0;298;0;0;170400;4764;0;0;0;0;0;0;0;0;169030;3878;10082;0;457654;0;0;0;0;0;0;199347;0;0;0;0;0;0;0;46028;10838;291;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;72;212;0;0;0;0;0;295245;0;4360;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15121;0;0;0;0;0;105350;3414;24;185995;0;45479;0;0;0;167390;163256;19666;30414;3025;0;0;0;0;0;0;0;42;0;24;0;77;0;987;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;263;0;0;0;0;0;4248584;"Metazoa";"Arthropoda";"Insecta";"Coleoptera";"Scarabaeidae";"Aphodius"
"Diptera sp.80";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7837;0;17193;166401;205158;293562;1108;67;0;0;279;970956;0;3672;0;1018408;169;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3100;0;0;0;0;0;0;0;0;0;0;0;18272;131288;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;147;0;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3091;0;60636;578907;0;51174;21606;0;0;0;319;35570;0;260222;0;318762;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4167949;"Metazoa";"Arthropoda";"Insecta";"Diptera";"Diptera family seq11913";"Diptera genus seq11913"
"Cylicocyclus ashworthi";0;27912;0;0;0;0;0;6070;1286;84944;65995;0;89719;0;1834;0;860;0;167;34874;0;7712;0;0;0;0;0;8875;36816;5551;13140;0;102;0;0;0;25195;7581;2404;265188;0;860;0;145;685;149;0;0;1074;0;5814;2126;11783;0;0;0;38700;295;26713;6606;0;0;0;0;0;0;0;44;91;506;558;0;0;0;0;0;0;0;186;0;0;0;0;0;0;0;0;0;61;67;2012;0;268;0;0;0;0;32;192;0;0;879;0;0;0;0;0;6268;2603;3722;0;0;2827;0;0;0;57132;43;143;1623;409451;69474;0;0;0;0;0;83414;10508;16217;91;0;80242;0;0;0;14914;36009;120805;28244;0;44280;0;0;0;0;0;0;0;117;851;0;2871;0;0;0;79;1905;21141;26651;0;10279;228;39744;8715;97703;0;13180;8012;62683;17081;26777;0;0;0;0;1500;137585;290;3553;0;12207;0;173;603;1090;0;4270;9404;79484;43478;599;3250;0;0;225;46851;360;1006;2304;357;18765;0;0;0;0;0;132770;14466;110014;3250;0;0;0;0;0;95532;172864;14040;81699;0;60110;0;97;0;0;0;195;29141;3602;7857;0;1245;0;0;0;19265;438245;12258;71256;3747358;"Metazoa";"Nematoda";"Chromadorea";"Strongylida";"Strongyloididae";"Cylicocyclus"
"Ancylostoma sp.1 (caninum)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;55;0;0;0;0;0;0;0;0;0;0;0;86;0;0;0;0;26054;0;53837;128383;211648;369589;207345;15;639;37;0;226507;1343;57279;185087;9212;0;0;181;0;0;0;0;421;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7174;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;276;0;72;0;0;4587;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;469;0;43;0;102;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9201;0;0;0;0;0;0;0;0;0;0;0;0;21855;3006;10235;0;0;0;0;0;0;8465;6545;0;5854;1024369;0;0;0;737;21359;0;3207;0;494;0;0;0;0;0;0;161;0;0;26648;0;0;0;0;0;0;0;0;0;1115;0;0;0;0;0;0;0;0;0;224;0;0;0;0;0;0;0;618;0;0;0;0;0;0;2634564;"Metazoa";"Nematoda";"Chromadorea";"Strongylida";"Strongyloididae";"Ancylostoma"
"Cylicocyclus sp.1 (ashworthi)";369;16963;0;0;0;0;0;2994;771;10663;46228;0;152173;0;513;0;0;745;217;44410;0;1645;0;0;0;0;0;127;19377;3018;9496;0;49;0;0;0;37183;8043;966;198473;0;288;0;497;0;0;305;0;700;0;4179;0;11867;0;0;0;4460;97;25708;4284;0;0;0;0;0;0;0;34;235;234;0;0;5192;0;0;0;0;0;0;53;0;0;0;0;0;0;0;182;0;41;15738;0;261;0;0;0;0;0;0;309;0;567;0;0;0;0;0;5677;593;127;1290;0;2862;0;0;0;39828;959;856;825;27923;63222;0;0;0;0;0;28209;4876;10366;0;0;49081;0;0;0;5893;9432;70776;17830;0;69004;0;0;0;0;0;0;0;0;404;0;1700;0;0;0;0;0;54415;10212;0;9290;475;31877;3986;26593;0;22395;7881;25151;19661;56504;0;0;0;0;3135;62942;0;2498;0;4365;0;0;325;321;0;1259;11861;11276;16996;0;2024;0;0;246;11259;23;2688;936;0;12670;0;0;0;0;0;65959;6464;93102;591;0;0;0;0;0;100623;139481;10110;47349;0;23743;0;1006;0;0;0;260;57321;7017;5700;0;5458;0;0;467;7398;261441;4680;68310;2361131;"Metazoa";"Nematoda";"Chromadorea";"Strongylida";"Strongyloididae";"Cylicocyclus"
"Ceratophysella denticulata";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;97520;0;0;15182;1434;49336;0;7275;26737;0;0;0;0;0;5852;5546;27297;0;0;0;768;0;897;0;0;17;46;284;1182;80;0;0;0;0;372;0;0;154;3482;698;122194;0;0;0;0;0;0;0;0;0;2245;0;2740;225680;25;0;0;144144;32531;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36153;407;0;0;12740;2103;0;0;0;156;0;0;0;0;0;0;0;455;0;0;273;28988;24366;0;90603;0;0;0;0;0;0;0;0;0;3617;3595;525;213;0;0;6892;13053;0;0;0;0;0;0;0;0;0;0;0;0;4107;0;1080;2641;934;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;392623;84995;33;0;0;0;0;0;0;0;0;1930;0;0;3947;0;0;0;0;192;0;0;0;0;0;0;421;0;2312;779;0;20496;26;0;0;0;0;1692;0;11169;0;0;15977;11059;34457;5269;0;0;0;0;163;30055;272226;5710;12;0;0;6854;0;333208;0;0;0;151;0;2003;0;2244396;"Metazoa";"Arthropoda";"Collembola";"Poduromorpha";"Hypogastruridae";"Ceratophysella"
"Aphodius sticticus";0;0;0;0;0;0;0;0;0;176;947;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25510;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;210;46757;99;117;0;0;0;0;0;0;0;0;0;0;0;0;0;271;0;0;6632;0;0;0;0;2032;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;37618;238336;4361;51216;4480;0;433196;847406;3082;0;76;0;0;0;0;0;0;0;0;0;0;49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;3768;119;236;0;0;0;0;4093;0;0;0;0;0;0;0;0;0;1710854;"Metazoa";"Arthropoda";"Insecta";"Coleoptera";"Scarabaeidae";"Aphodius"
"Cylicocyclus nassatus";0;1013;0;0;0;0;0;0;0;1751;9807;0;3095;0;0;0;5951;4549;0;5141;0;1467;0;0;0;0;0;9277;27946;4647;39655;0;0;0;0;0;3749;32150;1911;0;259;8391;0;209;0;0;0;1625;731;1300;1106;658;5740;0;0;0;322155;288;1153;3350;0;0;0;0;0;0;0;767;0;7158;585;0;0;0;0;0;0;0;74;0;0;0;0;0;0;0;0;8806;88;101;0;0;248;0;0;0;935;0;3417;0;0;1592;0;0;0;0;0;9882;4281;2057;0;0;4285;0;0;0;45527;44;825;0;0;8283;0;0;0;0;0;39262;4886;6091;0;0;98795;0;0;0;2898;2667;56545;10549;0;107;0;0;0;0;0;0;6248;109;2404;0;0;0;0;0;0;2520;1948;248242;0;774;1600;35782;85;3923;0;8110;1078;37926;0;8233;1195;0;0;0;0;7711;0;0;50;1853;0;111;269;69;532;4153;305;4780;1992;2689;328;0;0;0;10619;83;822;17737;144;2375;0;0;69;0;0;159949;1888;7615;396;0;72;0;0;0;14859;10572;6163;64034;0;7127;0;0;0;0;0;806;4246;5692;7301;0;27290;255;0;0;7608;133332;2872;10336;1709110;"Metazoa";"Nematoda";"Chromadorea";"Strongylida";"Strongylidae";"Cylicocyclus"
"Chamaedrilus chlorophilus";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7191;0;0;0;0;4751;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;328;0;0;32396;0;16415;113560;0;0;12846;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;62;0;1357044;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6920;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3070;0;0;0;0;0;0;0;0;0;0;0;0;260;0;0;0;0;0;0;2347;0;0;0;0;0;0;0;0;0;0;0;0;739;5459;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1563417;"Metazoa";"Annelida";"Clitellata";"Enchytraeida";"Enchytraeidae";"Chamaedrilus"
"Cooperia oncophora";98537;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27905;0;0;0;0;2330;0;0;0;0;34;548;0;0;0;0;9;0;3774;0;0;0;0;0;0;0;0;0;271;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;146254;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;853;1657;0;0;0;0;0;0;0;0;39998;0;0;0;0;0;0;23353;318;0;306192;177541;0;0;0;0;0;0;0;93;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;324016;0;0;0;0;0;0;0;0;0;0;0;0;106187;0;170123;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;260;0;0;0;0;0;0;77;0;0;0;0;0;0;0;0;892;0;0;0;0;0;0;0;0;0;0;0;154;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1431391;"Metazoa";"Nematoda";"Chromadorea";"Strongylida";"Strongyloididae";"Cooperia"
