"";"APR1";"APR10";"APR11";"APR12";"APR13";"APR14";"APR15";"APR16";"APR17";"APR18";"APR19";"APR2";"APR20";"APR3";"APR4";"APR5";"APR6";"APR7";"APR8";"APR9";"AUG1";"AUG10";"AUG11";"AUG12";"AUG13";"AUG14";"AUG15";"AUG16";"AUG17";"AUG18";"AUG19";"AUG2";"AUG20";"AUG3";"AUG4";"AUG5";"AUG6";"AUG7";"AUG8";"AUG9";"DEC1";"DEC10";"DEC11";"DEC12";"DEC13";"DEC14";"DEC15";"DEC16";"DEC17";"DEC18";"DEC19";"DEC2";"DEC20";"DEC3";"DEC4";"DEC5";"DEC6";"DEC7";"DEC8";"DEC9";"FEB1";"FEB10";"FEB11";"FEB12";"FEB13";"FEB14";"FEB15";"FEB16";"FEB17";"FEB18";"FEB19";"FEB2";"FEB20";"FEB3";"FEB4";"FEB5";"FEB6";"FEB7";"FEB8";"FEB9";"JAN1";"JAN10";"JAN11";"JAN12";"JAN13";"JAN14";"JAN15";"JAN16";"JAN17";"JAN18";"JAN19";"JAN2";"JAN20";"JAN3";"JAN4";"JAN5";"JAN6";"JAN7";"JAN8";"JAN9";"JUL1";"JUL10";"JUL11";"JUL12";"JUL13";"JUL14";"JUL15";"JUL16";"JUL17";"JUL18";"JUL19";"JUL2";"JUL20";"JUL3";"JUL4";"JUL5";"JUL6";"JUL7";"JUL8";"JUL9";"JUN1";"JUN10";"JUN11";"JUN12";"JUN13";"JUN14";"JUN15";"JUN16";"JUN17";"JUN18";"JUN19";"JUN2";"JUN20";"JUN3";"JUN4";"JUN5";"JUN6";"JUN7";"JUN8";"JUN9";"MAR1";"MAR10";"MAR11";"MAR12";"MAR13";"MAR14";"MAR15";"MAR16";"MAR17";"MAR18";"MAR19";"MAR2";"MAR20";"MAR3";"MAR4";"MAR5";"MAR6";"MAR7";"MAR8";"MAR9";"MAY1";"MAY10";"MAY11";"MAY12";"MAY13";"MAY14";"MAY15";"MAY16";"MAY17";"MAY18";"MAY19";"MAY2";"MAY20";"MAY3";"MAY4";"MAY5";"MAY6";"MAY7";"MAY8";"MAY9";"NOV1";"NOV10";"NOV11";"NOV12";"NOV13";"NOV14";"NOV15";"NOV16";"NOV17";"NOV18";"NOV19";"NOV2";"NOV20";"NOV3";"NOV4";"NOV5";"NOV6";"NOV7";"NOV8";"NOV9";"OCT1";"OCT10";"OCT11";"OCT12";"OCT13";"OCT14";"OCT15";"OCT16";"OCT17";"OCT18";"OCT19";"OCT2";"OCT20";"OCT3";"OCT4";"OCT5";"OCT6";"OCT7";"OCT8";"OCT9";"SEP1";"SEP10";"SEP11";"SEP12";"SEP13";"SEP14";"SEP15";"SEP16";"SEP17";"SEP18";"SEP19";"SEP2";"SEP20";"SEP3";"SEP4";"SEP5";"SEP6";"SEP7";"SEP8";"SEP9";"total";"kingdom";"phylum";"class";"order";"family";"genus"
"Cyathostomum sp.3 (pateratum)";0;46255;0;0;0;0;0;0;0;3830;19197;0;33340;0;40223;0;197542;18215;0;20546;0;28948;0;0;0;0;0;75212;42213;68317;37297;0;22;0;0;0;68930;41876;949;72866;24748;15747;0;166;467;145;81;810;41161;949;19670;975;64432;2608;3186;0;10008;34065;57809;98767;0;26801;0;0;0;0;0;225763;17696;103710;205391;0;1164;0;0;0;9075;70;454;0;0;14109;0;0;0;0;0;14168;46428;51748;1500;0;10366;0;0;0;170927;15833;30901;11396;734;45075;0;0;0;0;0;150964;61298;9789;22;0;81812;0;0;0;129032;7172;9657;3703;5785;3814;0;0;0;0;0;57023;2500;5359;7416;0;68656;0;0;0;46072;82729;41660;43505;0;5767;0;0;0;621;0;186282;52079;520;6358;0;185130;0;0;0;90980;7431;14369;0;0;17286;118025;62535;2056;9503;0;25602;2626;32199;45779;58495;1926;0;0;0;49465;31861;57430;817;10516;89743;0;0;9148;168;21;68415;25593;56377;30980;0;103784;0;0;73;10549;932;131647;9573;0;49873;0;0;2179;0;268;73208;151190;13362;34326;4306;99351;0;0;1614;69353;36097;149497;87393;0;107157;0;0;0;0;0;47756;55140;127032;105935;0;35819;0;0;1059;152545;43537;57523;35864;6166894;"Metazoa";"Nematoda";"Chromadorea";"Strongylida";"Strongyloididae";"Cyathostomum"
"Cyathostomum sp.1 (catinatum)";0;942;0;0;0;0;0;0;946;69391;1868;0;87289;0;4505;0;26181;52269;0;11284;0;43500;0;0;0;0;0;6095;27387;81038;30485;0;2;0;0;0;65263;81293;143;35680;15012;19596;91;213;382;0;2077;1003;26826;2288;34715;5671;116148;0;0;0;13238;71388;37324;44334;0;12111;0;0;0;0;272;0;1334;8969;199;0;0;6863;0;0;9990;0;0;658;0;1152;0;0;198;0;0;51878;1549;19463;20431;0;0;0;0;0;57425;24919;20259;15325;0;15341;0;0;0;0;261;43347;15977;15399;0;0;132759;0;0;0;33986;10654;21911;6219;637;1071;0;0;0;0;0;64831;2759;10815;401;0;43949;0;0;0;144815;15587;14099;8295;0;14490;0;0;0;0;0;0;118342;0;17069;0;10057;0;0;0;48905;10883;0;0;0;36248;83753;9347;207;107705;0;49414;8144;14459;3280;145669;1586;0;0;0;0;128896;8880;5923;0;27209;0;83;2489;114;28;10605;75972;6856;17755;328;17985;0;0;0;27096;1275;73606;28054;0;31075;0;0;926;84;842;10895;19411;94603;34926;0;91660;0;0;0;68796;16915;55965;24186;0;56344;0;0;0;1541;0;7540;28938;45927;81491;0;96689;0;0;0;46653;17729;40722;32106;3890651;"Metazoa";"Nematoda";"Chromadorea";"Strongylida";"Strongyloididae";"Cyathostomum"
"Psychoda phalaenoides";0;0;0;0;0;0;150;0;0;0;0;0;0;0;0;0;0;0;0;0;126;0;3127;9128;35;327;16127;0;0;0;0;0;0;47814;451;57;0;0;0;0;10575;0;216705;125258;56946;31977;6509;0;0;0;0;5022;0;458;854;4424;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16823;47418;149585;134547;214299;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2242;1027;156374;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;106;0;0;0;0;0;30007;0;0;0;0;0;0;23;42;0;0;0;0;0;4358;0;179507;71026;75778;218794;74947;0;0;0;0;87308;0;473;0;5804;0;0;0;0;13700;0;152604;185814;61278;146446;229502;0;0;0;0;35691;0;12453;145133;88428;0;0;0;0;32658;0;2147;66586;45641;1863;124226;0;0;0;0;9567;0;15878;58291;97;0;0;0;0;3434561;"Metazoa";"Arthropoda";"Insecta";"Diptera";"Psychodidae";"Psychoda"
"Bos taurus";2199;0;626;0;0;1894;1566;0;0;0;0;8397;0;60610;0;34;0;0;0;0;197;0;6861;739;517;69829;2223;0;0;0;0;0;0;105;0;27;0;0;0;0;2623;0;179;178;67;156;173;0;0;0;0;482;0;13927;402;4509;0;0;0;0;49893;0;4461;4638;156;26159;0;0;0;0;0;0;0;2476;145;152;0;0;0;0;178261;0;75536;84315;326;0;236469;0;0;0;0;217650;0;28630;73577;244131;0;0;0;0;9041;0;945;281;134;1568;870;0;0;0;0;7840;0;231;0;55517;0;0;0;0;0;0;78943;2039;51;12699;4350;0;0;0;0;145;0;33;479;0;0;0;0;0;5799;0;0;864;106254;27908;171080;0;0;0;0;1071;0;4889;2462;3103;0;0;0;0;672;0;0;0;0;0;906;0;0;0;0;0;0;4171;209;63;0;0;0;0;117193;0;6483;38;95689;4622;73;0;0;0;0;28976;0;181;201649;1780;0;0;0;0;25130;0;117;2495;522;789;346;0;0;0;0;4981;0;4557;12080;1731;0;0;0;0;110695;0;13240;6906;98;17590;36225;0;0;0;0;12397;0;1335;3209;0;0;0;0;0;2621239;"Metazoa";"Chordata";"Mammalia";"Artiodactyla";"Bovidae";"Bos"
"Aphodius conspurcatus";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;67;0;0;0;0;0;230188;0;211968;75417;0;7428;0;0;96;0;0;86722;6139;0;0;0;0;0;0;0;0;165189;2941;18852;0;231988;0;0;0;0;0;0;191270;0;0;0;0;0;0;0;62806;57110;6649;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2622;589;0;0;0;0;0;204817;0;79185;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22207;0;0;0;0;0;125844;7200;22;126993;0;86912;0;0;0;97162;209982;14045;48598;34464;0;0;0;0;0;0;0;66;0;252;0;58;0;20736;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;120;0;0;0;0;0;2436704;"Metazoa";"Arthropoda";"Insecta";"Coleoptera";"Scarabaeidae";"Aphodius"
"Pelodera sp.1 (strongyloides)";0;43;0;0;0;0;566;0;0;0;0;0;0;0;0;0;0;0;0;0;1491;2769;0;51730;6962;51884;4777;0;322;2244;14;7070;0;17517;2983;8343;4986;470;257;1993;1354;0;174;0;273;80;1578;0;0;0;0;408;0;944;861;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2053;0;0;1301;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;152;0;0;10438;0;26825;89948;11514;10135;1368;1269;654;58;4278;668;1013;152933;7436;11190;28;9621;181216;61073;0;0;0;80389;3973;1473;1611;561;216625;834;134761;14379;9896;514;14828;35195;0;0;101688;143010;0;0;0;0;0;0;0;0;0;0;0;0;0;1912;214;0;0;0;0;0;4206;4615;0;363;119948;2448;32073;291;9334;1734;1214;0;2886;45646;59692;56865;23143;0;4232;72444;0;239;0;0;2546;0;606;0;0;0;0;4745;902;566;0;110;13;0;28;0;18997;232;7673;208;2992;510;44;4570;351;0;0;4428;656;0;2552;2730;0;90;260;0;9128;1193;2890;2246;5728;15769;30612;0;547;0;442;9613;556;61214;22212;101787;10551;1161;3273;325;2295556;"Metazoa";"Nematoda";"Chromadorea";"Rhabditida";"Rhabditidae";"Pelodera"
"Diptera sp.80";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35144;0;5088;58746;78905;86449;659;5;0;0;222;177203;0;11932;0;231483;42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;103991;0;0;0;0;0;0;0;0;0;0;0;159816;214056;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5377;0;8172;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;109046;0;48077;161898;0;11140;3356;0;0;0;207;61657;0;232074;0;232547;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2037292;"Metazoa";"Arthropoda";"Insecta";"Diptera";"Diptera family seq11913";"Diptera genus seq11913"
"Cylicocyclus ashworthi";0;8156;0;0;0;0;0;28755;13562;82604;84867;0;23493;0;53093;0;548;0;6761;18594;0;6737;0;0;0;0;0;32009;5140;4060;8951;0;80;0;0;0;9355;1836;792;61106;0;5614;0;45;276;41;0;0;10470;0;4374;349;5114;0;0;0;9869;615;13368;8203;0;0;0;0;0;0;0;106;91;373;1059;0;0;0;0;0;0;0;263;0;0;0;0;0;0;0;0;0;304;1614;12155;0;45;0;0;0;0;109;617;0;0;559;0;0;0;0;0;2542;6161;2590;0;0;1311;0;0;0;6351;310;62;497;194096;14483;0;0;0;0;0;23586;3880;10459;137;0;19236;0;0;0;11451;68347;25268;10312;0;44295;0;0;0;0;0;0;0;86;1041;0;2054;0;0;0;2203;4179;48759;17542;0;78614;194;10159;9628;50626;0;27314;3375;11269;43855;9514;0;0;0;0;6706;35826;3826;42968;0;17741;0;36;446;274;0;5016;20121;81347;29896;1112;6296;0;0;160;27132;444;706;3781;3973;31844;0;0;0;0;0;16149;20524;52237;35566;0;0;0;0;0;31043;34733;3130;21049;0;14804;0;103;0;0;0;130;6398;6650;3339;0;321;0;0;0;2893;69389;6607;53267;1989901;"Metazoa";"Nematoda";"Chromadorea";"Strongylida";"Strongyloididae";"Cylicocyclus"
"Ceratophysella denticulata";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;82670;0;0;7579;17703;10446;0;975;19346;0;0;0;0;0;4120;2060;6626;0;0;0;5089;0;299;0;0;7;10;2702;350;70;0;0;0;0;83;0;0;79;4532;28010;195048;0;0;0;0;0;0;0;0;0;75170;0;128373;238242;846;0;0;207597;31573;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;108380;1392;0;0;7955;873;0;0;0;67;0;0;0;0;0;0;0;100;0;0;1908;13671;7720;0;18327;0;0;0;0;0;0;0;0;0;2012;810;508;949;0;0;13121;2872;0;0;0;0;0;0;0;0;0;0;0;0;74795;0;57915;15117;3131;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;82690;16930;9;0;0;0;0;0;0;0;0;1427;0;0;4564;0;0;0;0;388;0;0;0;0;0;0;637;0;3936;261;0;42494;17;0;0;0;0;18560;0;9459;0;0;69406;3607;6801;1008;0;0;0;0;180;18217;165599;16684;3;0;0;2804;0;83774;0;0;0;23;0;1091;0;1951799;"Metazoa";"Arthropoda";"Collembola";"Poduromorpha";"Hypogastruridae";"Ceratophysella"
"Copromyza sp.1 (equina)";0;0;26769;15654;213073;199027;0;3873;0;28377;0;0;103;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;113;40894;1164;0;0;0;0;0;0;0;2244;0;0;271;0;0;219586;71852;5016;0;0;0;0;0;0;0;0;0;74612;0;10822;74197;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;47;20235;14225;523;0;1035;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45;0;722;0;0;14;0;0;0;0;0;0;0;0;0;133864;20096;99372;90181;0;0;0;169;0;1016;2;5896;4711;89620;0;1072;0;0;0;0;0;1732;1169;10926;0;679;2765;186;2228;0;0;0;0;0;50288;0;0;0;0;0;0;0;0;0;0;0;0;0;192;0;724;0;0;0;0;0;0;7719;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;965;0;0;0;0;0;0;0;0;0;0;0;23;0;20;0;30;0;0;0;0;0;0;0;1550162;"Metazoa";"Arthropoda";"Insecta";"Diptera";"Sphaeroceridae";"Copromyza"
