"";"APR1";"APR10";"APR11";"APR12";"APR13";"APR14";"APR15";"APR16";"APR17";"APR18";"APR19";"APR2";"APR20";"APR3";"APR4";"APR5";"APR6";"APR7";"APR8";"APR9";"AUG1";"AUG10";"AUG11";"AUG12";"AUG13";"AUG14";"AUG15";"AUG16";"AUG17";"AUG18";"AUG19";"AUG20";"AUG3";"AUG4";"AUG5";"AUG6";"AUG7";"AUG8";"AUG9";"DEC1";"DEC10";"DEC11";"DEC12";"DEC13";"DEC14";"DEC15";"DEC16";"DEC17";"DEC18";"DEC19";"DEC2";"DEC20";"DEC3";"DEC4";"DEC5";"DEC6";"DEC7";"DEC8";"DEC9";"FEB1";"FEB10";"FEB11";"FEB12";"FEB15";"FEB16";"FEB17";"FEB18";"FEB19";"FEB2";"FEB20";"FEB3";"FEB4";"FEB5";"FEB6";"FEB7";"FEB8";"FEB9";"JAN1";"JAN10";"JAN11";"JAN13";"JAN14";"JAN15";"JAN16";"JAN17";"JAN18";"JAN19";"JAN2";"JAN20";"JAN3";"JAN4";"JAN6";"JAN7";"JAN8";"JAN9";"JUL1";"JUL10";"JUL11";"JUL12";"JUL13";"JUL14";"JUL15";"JUL16";"JUL17";"JUL18";"JUL19";"JUL2";"JUL20";"JUL3";"JUL4";"JUL5";"JUL6";"JUL7";"JUL8";"JUL9";"JUN1";"JUN10";"JUN11";"JUN12";"JUN13";"JUN14";"JUN15";"JUN16";"JUN17";"JUN18";"JUN19";"JUN2";"JUN20";"JUN3";"JUN4";"JUN5";"JUN7";"JUN8";"JUN9";"MAR1";"MAR10";"MAR11";"MAR12";"MAR13";"MAR14";"MAR15";"MAR17";"MAR18";"MAR2";"MAR20";"MAR3";"MAR4";"MAR5";"MAR6";"MAR7";"MAR8";"MAR9";"MAY1";"MAY10";"MAY11";"MAY12";"MAY13";"MAY14";"MAY15";"MAY16";"MAY17";"MAY18";"MAY19";"MAY2";"MAY20";"MAY3";"MAY4";"MAY5";"MAY6";"MAY7";"MAY8";"MAY9";"NOV1";"NOV10";"NOV11";"NOV12";"NOV13";"NOV14";"NOV15";"NOV16";"NOV17";"NOV18";"NOV19";"NOV2";"NOV20";"NOV3";"NOV5";"NOV6";"NOV7";"NOV8";"NOV9";"OCT1";"OCT10";"OCT11";"OCT12";"OCT13";"OCT14";"OCT15";"OCT16";"OCT17";"OCT18";"OCT19";"OCT2";"OCT20";"OCT3";"OCT4";"OCT5";"OCT6";"OCT7";"OCT8";"OCT9";"SEP1";"SEP10";"SEP11";"SEP12";"SEP13";"SEP14";"SEP15";"SEP16";"SEP17";"SEP18";"SEP19";"SEP2";"SEP20";"SEP3";"SEP4";"SEP5";"SEP6";"SEP7";"SEP8";"SEP9";"total";"kingdom";"phylum";"class";"order";"family";"genus"
"Psychoda phalaenoides";0;0;0;0;0;0;150;0;0;0;0;0;0;0;0;0;0;0;0;0;126;0;3127;9128;35;327;16127;0;0;0;0;0;47814;451;57;0;0;0;0;10575;0;216705;125258;56946;31977;6509;0;0;0;0;5022;0;458;854;4424;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16823;47418;149585;134547;214299;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2242;1027;156374;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;106;0;0;0;0;0;30007;0;0;0;0;0;0;23;42;0;0;0;0;0;4358;0;179507;71026;75778;218794;74947;0;0;0;0;87308;0;473;5804;0;0;0;0;13700;0;152604;185814;61278;146446;229502;0;0;0;0;35691;0;12453;145133;88428;0;0;0;0;32658;0;2147;66586;45641;1863;124226;0;0;0;0;9567;0;15878;58291;97;0;0;0;0;3434561;"Metazoa";"Arthropoda";"Insecta";"Diptera";"Psychodidae";"Psychoda"
"Aphodius conspurcatus";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;67;0;0;0;0;0;230188;0;211968;75417;0;7428;0;0;96;0;0;86722;6139;0;0;0;0;0;0;165189;2941;18852;0;231988;0;0;0;0;0;0;191270;0;0;0;0;0;0;62806;57110;6649;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2622;589;0;0;0;0;204817;79185;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22207;0;0;0;0;0;125844;7200;22;126993;0;86912;0;0;97162;209982;14045;48598;34464;0;0;0;0;0;0;0;66;0;252;0;58;0;20736;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;120;0;0;0;0;0;2436704;"Metazoa";"Arthropoda";"Insecta";"Coleoptera";"Scarabaeidae";"Aphodius"
"Ceratophysella denticulata";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;82670;0;0;7579;17703;10446;0;975;19346;0;0;0;0;4120;2060;6626;0;0;0;5089;0;299;0;0;7;10;2702;350;70;0;0;0;0;83;0;0;79;4532;28010;195048;0;0;0;0;0;0;0;75170;0;128373;238242;846;0;0;207597;31573;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;108380;1392;0;0;7955;873;0;0;0;67;0;0;0;0;0;0;0;100;0;0;1908;13671;7720;0;18327;0;0;0;0;0;0;0;0;0;2012;810;508;949;0;13121;2872;0;0;0;0;0;0;0;0;0;0;74795;0;57915;15117;3131;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;82690;16930;9;0;0;0;0;0;0;0;0;1427;0;0;4564;0;0;0;0;388;0;0;0;0;0;637;0;3936;261;0;42494;17;0;0;0;0;18560;0;9459;0;0;69406;3607;6801;1008;0;0;0;0;180;18217;165599;16684;3;0;0;2804;0;83774;0;0;0;23;0;1091;0;1951799;"Metazoa";"Arthropoda";"Collembola";"Poduromorpha";"Hypogastruridae";"Ceratophysella"
"Copromyza sp.1 (equina)";0;0;26769;15654;213073;199027;0;3873;0;28377;0;0;103;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;113;40894;1164;0;0;0;0;0;2244;0;0;271;0;0;219586;71852;5016;0;0;0;0;0;0;0;0;74612;0;10822;74197;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;47;20235;14225;523;0;1035;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45;0;722;0;0;14;0;0;0;0;0;0;0;0;133864;20096;99372;90181;0;0;169;1016;2;5896;4711;89620;0;1072;0;0;0;0;0;1732;1169;10926;0;679;2765;186;2228;0;0;0;0;0;50288;0;0;0;0;0;0;0;0;0;0;0;0;0;192;0;724;0;0;0;0;0;7719;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;965;0;0;0;0;0;0;0;0;0;0;0;23;0;20;0;30;0;0;0;0;0;0;0;1550162;"Metazoa";"Arthropoda";"Insecta";"Diptera";"Sphaeroceridae";"Copromyza"
"Desoria grisea";0;0;15858;0;11117;5764;86378;0;0;0;0;0;0;0;0;0;873;0;0;0;0;0;0;0;0;0;0;57946;206;18526;0;85884;0;0;6;0;0;0;0;217;0;0;0;0;0;0;19;32316;3556;25;0;722;0;0;0;21;12203;0;0;0;0;16550;0;0;0;596;0;0;0;846;19578;0;0;0;0;0;0;0;0;0;0;0;0;0;86219;0;0;692;1257;0;0;0;0;57543;0;0;1512;168681;269;4059;0;210;28;0;5702;172;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;425;3968;74;192;0;1656;0;0;0;0;0;0;0;0;66438;153336;0;1720;0;0;0;11946;0;0;0;2826;0;0;0;0;0;0;0;0;0;0;2229;18578;0;0;0;0;252;5;1;13307;0;0;0;0;0;0;0;15;3681;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14046;0;50957;226;0;40845;7013;0;23909;0;27554;0;0;0;0;0;0;3;0;0;161211;0;15;0;14652;0;350;5333;2;0;1059;0;0;0;0;0;0;0;1323375;"Metazoa";"Arthropoda";"Collembola";"Entomobryomorpha";"Isotomidae";"Desoria"
"Aphodius sp.12 (sphacelatus/prodromus)";18970;109417;0;0;0;3303;1220;1373;22630;497;1131;112304;586;50699;0;19540;4133;348;84751;15755;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41607;0;0;0;0;0;0;0;0;2524;0;0;0;0;0;0;79;41;34765;210895;0;0;0;1663;0;0;0;0;981;0;1121;18045;429;71;1578;2555;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41332;8810;0;26;0;0;0;0;772;785;677;4041;0;8715;72186;178187;0;566;0;6258;0;0;0;0;0;0;0;0;0;0;0;1211;560;39;30109;0;0;0;513;0;0;0;0;0;0;0;0;0;0;736;0;482;158;0;0;0;0;4860;84191;0;0;0;0;0;13;57;512;0;3440;0;1252;8012;5294;0;11962;7;260;0;5108;0;0;0;0;0;0;0;0;0;896;0;0;0;1836;24;0;0;0;1246898;"Metazoa";"Arthropoda";"Insecta";"Coleoptera";"Scarabaeidae";"Aphodius"
"Aphodius sticticus";0;0;0;0;0;0;0;0;0;180;1216;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3618;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;72;116256;65;89;0;0;0;0;0;0;0;0;0;0;0;0;0;693;0;0;1898;0;0;0;0;495;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;291;24533;60952;4860;26178;50184;0;172907;152391;7801;0;17;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;233;3992;62;164;0;0;0;0;1697;0;0;0;0;0;0;0;0;0;630853;"Metazoa";"Arthropoda";"Insecta";"Coleoptera";"Scarabaeidae";"Aphodius"
"Aphodius contaminatus";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;532;0;0;0;0;7;0;44;0;0;0;878;9;0;789;0;0;34358;3;0;27988;643;8825;14142;99877;44;4019;183817;2056;0;1673;12188;116;2129;123062;84340;9155;2535;2594;182;616005;"Metazoa";"Arthropoda";"Insecta";"Coleoptera";"Scarabaeidae";"Aphodius"
"Sepsis cynipsea";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3394;0;9053;0;7350;2838;16329;0;0;0;0;0;0;129969;1673;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;98652;0;0;8753;0;0;0;0;0;0;0;202756;0;2775;270;1629;0;0;0;0;0;0;90794;0;0;0;0;0;0;0;0;98;0;386;1680;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;578449;"Metazoa";"Arthropoda";"Insecta";"Diptera";"Sepsidae";"Sepsis"
"Sylvicola stackelbergi";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;67597;0;0;0;0;0;0;0;0;0;0;0;54006;14892;14175;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8378;55070;13742;0;0;0;0;0;0;0;0;0;136929;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;156;0;101;144036;27218;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7673;0;0;0;0;0;0;0;0;0;0;215;0;18012;269;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;562469;"Metazoa";"Arthropoda";"Insecta";"Diptera";"Anisopodidae";"Sylvicola"
