"";"APR1";"APR10";"APR13";"APR14";"APR15";"APR16";"APR17";"APR18";"APR19";"APR2";"APR20";"APR3";"APR4";"APR5";"APR6";"APR7";"APR8";"APR9";"AUG1";"AUG10";"AUG11";"AUG12";"AUG13";"AUG14";"AUG15";"AUG17";"AUG18";"AUG19";"AUG3";"AUG4";"AUG5";"AUG6";"AUG7";"AUG8";"AUG9";"DEC10";"DEC16";"DEC18";"DEC19";"DEC20";"DEC5";"DEC8";"DEC9";"FEB1";"FEB17";"FEB18";"FEB19";"FEB2";"FEB20";"FEB8";"FEB9";"JAN1";"JAN10";"JAN15";"JAN16";"JAN17";"JAN18";"JAN2";"JAN3";"JAN4";"JAN6";"JAN7";"JAN8";"JAN9";"JUL1";"JUL10";"JUL11";"JUL12";"JUL13";"JUL14";"JUL15";"JUL16";"JUL17";"JUL18";"JUL19";"JUL2";"JUL20";"JUL3";"JUL4";"JUL5";"JUL6";"JUL7";"JUL8";"JUL9";"JUN10";"JUN11";"JUN12";"JUN13";"JUN16";"JUN17";"JUN18";"JUN19";"JUN2";"JUN20";"JUN3";"JUN4";"JUN5";"JUN9";"MAR1";"MAR10";"MAR11";"MAR12";"MAR14";"MAR18";"MAR2";"MAR20";"MAR3";"MAR5";"MAR6";"MAR7";"MAR9";"MAY1";"MAY10";"MAY11";"MAY12";"MAY13";"MAY14";"MAY15";"MAY16";"MAY17";"MAY18";"MAY19";"MAY2";"MAY20";"MAY3";"MAY4";"MAY5";"MAY6";"MAY8";"MAY9";"NOV1";"NOV10";"NOV12";"NOV16";"NOV17";"NOV18";"NOV19";"NOV2";"NOV20";"NOV3";"NOV5";"NOV6";"NOV7";"NOV8";"NOV9";"OCT1";"OCT10";"OCT11";"OCT12";"OCT13";"OCT14";"OCT15";"OCT16";"OCT17";"OCT18";"OCT19";"OCT2";"OCT20";"OCT3";"OCT4";"OCT5";"OCT7";"OCT8";"OCT9";"SEP1";"SEP10";"SEP11";"SEP12";"SEP13";"SEP14";"SEP15";"SEP16";"SEP17";"SEP18";"SEP19";"SEP2";"SEP20";"SEP3";"SEP4";"SEP5";"SEP6";"SEP7";"SEP8";"SEP9";"total";"kingdom";"phylum";"class";"order";"family";"genus"
"Aphodius conspurcatus";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;67;230188;211968;75417;7428;96;86722;6139;0;165189;2941;18852;0;231988;0;191270;0;0;0;62806;57110;6649;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2622;589;0;204817;79185;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22207;0;125844;7200;22;126993;0;86912;0;0;97162;209982;14045;48598;34464;0;0;0;0;0;0;0;66;0;252;0;58;0;20736;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;120;0;0;0;0;0;2436704;"Metazoa";"Arthropoda";"Insecta";"Coleoptera";"Scarabaeidae";"Aphodius"
"Aphodius sp.12 (sphacelatus/prodromus)";18970;109417;0;3303;1220;1373;22630;497;1131;112304;586;50699;0;19540;4133;348;84751;15755;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41607;0;0;0;2524;0;79;41;34765;210895;1663;0;0;0;981;1121;18045;429;71;1578;2555;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41332;8810;0;26;0;772;785;677;4041;8715;72186;178187;566;0;6258;0;0;0;0;0;0;0;0;0;0;0;1211;560;39;30109;0;0;513;0;0;0;0;0;0;736;0;482;158;0;0;0;0;4860;84191;0;0;0;0;0;13;57;512;0;3440;0;1252;8012;5294;11962;7;260;0;5108;0;0;0;0;0;0;0;0;0;896;0;0;0;1836;24;0;0;0;1246898;"Metazoa";"Arthropoda";"Insecta";"Coleoptera";"Scarabaeidae";"Aphodius"
"Aphodius sticticus";0;0;0;0;0;0;0;180;1216;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3618;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;72;116256;65;89;0;0;0;0;0;0;0;0;0;0;0;0;693;1898;0;0;0;0;495;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;291;24533;60952;4860;26178;50184;0;172907;152391;7801;0;17;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;233;3992;62;164;0;0;0;0;1697;0;0;0;0;0;0;0;0;0;630853;"Metazoa";"Arthropoda";"Insecta";"Coleoptera";"Scarabaeidae";"Aphodius"
"Aphodius contaminatus";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;532;0;0;0;0;7;0;44;0;0;0;878;9;0;789;0;34358;3;0;27988;643;8825;14142;99877;44;4019;183817;2056;0;1673;12188;116;2129;123062;84340;9155;2535;2594;182;616005;"Metazoa";"Arthropoda";"Insecta";"Coleoptera";"Scarabaeidae";"Aphodius"
"Oxytelus laqueatus";0;0;0;0;0;63974;21722;0;1025;0;0;0;0;0;0;0;0;0;250;0;0;0;499;267;38;27399;0;0;313;0;101;0;17675;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;2974;251;12538;3643;0;0;0;0;0;0;0;57;0;0;0;0;0;0;794;98;12588;19294;0;0;0;0;26170;0;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;973;238;0;13255;0;0;536;0;0;16207;1270;148306;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4793;0;1200;0;0;0;0;0;0;0;0;516;528;0;0;0;0;399586;"Metazoa";"Arthropoda";"Insecta";"Coleoptera";"Staphylinidae";"Oxytelus"
"Philonthus fimetarius";0;0;0;0;135206;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;758;138;0;0;0;0;0;196836;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1047;0;0;0;0;0;0;0;108;0;0;0;0;0;2910;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;332;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;352;0;0;0;0;0;0;0;0;0;337687;"Metazoa";"Arthropoda";"Insecta";"Coleoptera";"Staphylinidae";"Staphylinidae genus seq399"
"Aphodius sphacelatus";6078;0;0;0;0;0;0;11;710;0;53;28145;44245;0;1705;1907;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17991;0;0;0;0;0;0;0;2145;0;0;0;0;0;0;0;3799;863;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;68858;0;0;0;0;0;12151;0;3799;18746;0;5544;0;1311;0;0;0;0;0;0;290;0;0;46;0;0;255;0;3667;0;0;0;0;0;0;0;0;0;79;0;0;0;0;0;0;0;1818;0;0;0;0;0;0;0;0;0;0;0;0;1199;7677;1333;0;0;0;0;19283;0;0;0;0;0;0;0;211;0;0;0;0;0;222;0;0;36;0;254177;"Metazoa";"Arthropoda";"Insecta";"Coleoptera";"Scarabaeidae";"Aphodius"
"Aphodius rufus";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;285;0;3645;8040;871;201;647;0;0;0;0;331;0;0;0;0;0;0;0;0;179164;0;283;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4468;0;0;0;357;1067;0;0;0;0;0;27231;0;481;54;0;0;0;0;0;227125;"Metazoa";"Arthropoda";"Insecta";"Coleoptera";"Scarabaeidae";"Aphodius"
"Cryptopleurum minutum";0;15519;0;0;0;4280;0;0;0;0;0;0;29140;0;0;27771;6173;744;26;0;0;0;0;0;0;265;0;0;0;246;169;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;738;756;47;0;0;80;0;0;0;0;0;42;2;0;0;196;1815;91719;0;0;0;0;213;363;506;2659;49;0;0;0;19;3103;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7080;2410;677;0;1782;0;0;0;0;1064;0;0;0;0;450;2465;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;202568;"Metazoa";"Arthropoda";"Insecta";"Coleoptera";"Hydrophilidae";"Cryptopleurum"
"Acrolocha sulcula";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;119250;10303;15925;0;0;0;50530;320;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;44;0;1414;0;0;0;0;0;0;0;0;0;197796;"Metazoa";"Arthropoda";"Insecta";"Coleoptera";"Staphylinidae";"Acrolocha"
