"","V1","V2"
"1","Acrolocha sulcula","Aphodius conspurcatus"
"2","Anotylus tetracarinatus","Aphodius contaminatus"
"3","Aphodius conspurcatus","Aphodius haemorrhoidalis"
"4","Aphodius contaminatus","Aphodius rufipes"
"5","Aphodius rufus","Aphodius rufus"
"6","Aphodius sp.12 (sphacelatus/prodromus)","Aphodius sp.1 (coenusus)"
"7","Aphodius sphacelatus","Aphodius sp.12 (sphacelatus/prodromus)"
"8","Aphodius sticticus","Aphodius sphacelatus"
"9","Atheta cinnamoptera","Aphodius sticticus"
"10","Atheta setigera","Atheta longicornis"
"11","Cryptopleurum minutum","Cercyon lateralis"
"12","Oxytelus laqueatus","Onthophagus similis"
"13","Philonthus fimetarius","Oxytelus laqueatus"
"14","Philonthus splendens","Philonthus fimetarius"
"15","Philonthus tenuicornis","Sphaeridium sp.1 (lunatum/bipustulatum)"
