"","V1","V2"
"1","Azelia sp.1 (cilipes/triquetra/zetterstedtii)","Copromyza equina"
"2","Azelia sp.2 (triquetra/zetterstedtii)","Copromyza sp.1 (equina)"
"3","Camptocladius stercorarius","Hylemya vagans"
"4","Coproica acutangula","Lotophila atra"
"5","Copromyza equina","Musca autumnalis"
"6","Copromyza sp.1 (equina)","Polietes lardarius"
"7","Culicoides sp.2 (dewulfi/uncistylus)","Psychoda phalaenoides"
"8","Diptera sp.27","Psychoda trinodulosa"
"9","Ocydromia sp.1 (glabricula)","Saltella sphondylii"
"10","Phortica sp.1 (spinosa)","Scathophaga stercoraria"
"11","Psychoda sp.2 (phalaenoides)","Sepsis cynipsea"
"12","Smittia aterrima","Sepsis sp.5 (flavimana/neocynipsea)"
"13","Sphaerocera curvipes","Spelobia clunipes"
"14","Sphaerocera sp.1 (curvipes)","Spelobia sp.1 (clunipes/tenebrarum)"
"15","Sympycnus sp.1 (anomalipennis)","Sylvicola stackelbergi"
