"","V1","V2"
"1","Chromadorea sp.6","Bunostomum phlebotomum"
"2","Cyathostomum sp.1 (catinatum)","Cooperia oncophora"
"3","Cyathostomum sp.3 (pateratum)","Cyathostomum sp.1 (catinatum)"
"4","Cylicocyclus ashworthi","Cyathostomum sp.3 (pateratum)"
"5","Cylicocyclus nassatus","Cylicocyclus ashworthi"
"6","Cylicocyclus sp.1 (ashworthi)","Cylicocyclus nassatus"
"7","Cylicocyclus sp.3 (nassatus)","Cylicocyclus sp.3 (nassatus)"
"8","Cylicostephanus calicatus","Cylicostephanus longibursatus"
"9","Cylicostephanus goldi","Ostertagia ostertagi"
"10","Cylicostephanus longibursatus","Ostertagia sp.1 (ostertagi/lyrata)"
"11","Cylicostephanus sp.2 (goldi)","Panagrellus sp.1 (redivivus)"
"12","Cylicostephanus sp.3 (longibursatus)","Pelodera sp.1 (strongyloides)"
"13","Pelodera sp.1 (strongyloides)","Plectus acuminatus"
"14","Triodontophorus brevicauda","Plectus sp.1 (acuminatus)"
"15","Triodontophorus sp.1 (brevicauda)","Trichostrongylus axei"
