"","V1","V2"
"1","Aphodius conspurcatus","Ancylostoma sp.1 (caninum)"
"2","Aphodius sp.12 (sphacelatus/prodromus)","Aphodius contaminatus"
"3","Aphodius sticticus","Aphodius sp.12 (sphacelatus/prodromus)"
"4","Ceratophysella denticulata","Bos taurus"
"5","Chamaedrilus chlorophilus","Bovicola bovis"
"6","Copromyza sp.1 (equina)","Bunostomum phlebotomum"
"7","Cyathostomum sp.1 (catinatum)","Ceratophysella denticulata"
"8","Cyathostomum sp.3 (pateratum)","Cooperia oncophora"
"9","Cylicocyclus ashworthi","Copromyza sp.1 (equina)"
"10","Cylicocyclus nassatus","Desoria grisea"
"11","Cylicocyclus sp.1 (ashworthi)","Diptera sp.66"
"12","Cylicocyclus sp.3 (nassatus)","Diptera sp.80"
"13","Cylicocyclus sp.6 (radiatus)","Pelodera sp.1 (strongyloides)"
"14","Cylicostephanus goldi","Phasmarhabditis sp.1 (papillosa)"
"15","Cylicostephanus longibursatus","Psychoda phalaenoides"
"16","Cylicostephanus sp.2 (goldi)","Saltella sphondylii"
"17","Desoria grisea","Sepsis cynipsea"
"18","Hypogastrura assimilis","Sepsis sp.5 (flavimana/neocynipsea)"
"19","Pelodera sp.1 (strongyloides)","Spelobia sp.1 (clunipes/tenebrarum)"
"20","Phortica sp.1 (spinosa)","Sylvicola stackelbergi"
