"","V1","V2"
"1","Acrolocha sulcula","Aphodius contaminatus"
"2","Aphodius conspurcatus","Aphodius haemorrhoidalis"
"3","Aphodius contaminatus","Aphodius sp.12 (sphacelatus/prodromus)"
"4","Aphodius rufus","Bovicola bovis"
"5","Aphodius sp.12 (sphacelatus/prodromus)","Ceratophysella denticulata"
"6","Aphodius sphacelatus","Copromyza sp.1 (equina)"
"7","Aphodius sticticus","Desoria grisea"
"8","Atheta cinnamoptera","Hypogastrura assimilis"
"9","Camptocladius stercorarius","Isotomurus palustris"
"10","Ceratophysella denticulata","Musca autumnalis"
"11","Copromyza sp.1 (equina)","Oxytelus laqueatus"
"12","Cryptopleurum minutum","Parisotoma notabilis"
"13","Desoria grisea","Psychoda phalaenoides"
"14","Hypogastrura assimilis","Saltella sphondylii"
"15","Lepidocyrtus cyaneus","Scathophaga stercoraria"
"16","Oxytelus laqueatus","Sepsis cynipsea"
"17","Philonthus fimetarius","Sepsis sp.5 (flavimana/neocynipsea)"
"18","Philonthus splendens","Spelobia sp.1 (clunipes/tenebrarum)"
"19","Philonthus tenuicornis","Sphaeridia pumilis"
"20","Phortica sp.1 (spinosa)","Sylvicola stackelbergi"
