"mean"	"StErr"
"RGE"	4.05714285714286	0.415948560860731
"RGM"	17.0909090909091	1.57475565466546
"RGL"	8.2051282051282	0.794022444655938
"REE"	3.8974358974359	0.286433869150609
"REM"	9.13333333333333	0.834605090186764
"REL"	5.5	0.497429288880236
"RE"	3.97297297297297	0.246390434463481
"RM"	12.5	0.930797301448396
"RL"	6.83544303797468	0.487570392806207
"RG"	9.58878504672897	0.772128815650398
"REx"	6.31451612903226	0.404759083263586
"RO"	7.96551724137931	0.66582129447347
"RF"	7.69565217391304	0.54948473374877
"RGO"	10.8518518518519	1.220717791674
"RGF"	8.30188679245283	0.918123008626728
"REO"	5.45161290322581	0.462031370683797
"REF"	7.17741935483871	0.650234548069474
