"mean"	"StErr"
"RGE"	1	0.239045721866879
"RGM"	4.7741935483871	0.557856260477062
"RGL"	2.53846153846154	0.45819300344109
"REE"	1.64516129032258	0.268602064447243
"REM"	4.33333333333333	0.445904036039959
"REL"	1.44444444444444	0.18874878090406
"RE"	1.38461538461538	0.190565258541744
"RM"	4.52857142857143	0.348746010653543
"RL"	1.90322580645161	0.229626967881158
"RG"	3.01282051282051	0.325666196346945
"REx"	2.56603773584906	0.232189031303757
"RO"	2.5979381443299	0.277932580475988
"RF"	2.93103448275862	0.264030560190144
"RGO"	3.26086956521739	0.483979860051984
"RGF"	2.65625	0.382609290205574
"REO"	2	0.277241312033469
"REF"	3.09090909090909	0.354169705059078
