"mean"	"StErr"
"RGE"	1.88	0.233238075793812
"RGM"	9	0.779714399927656
"RGL"	3.76923076923077	0.333592756933449
"REE"	1.21739130434783	0.125053691854201
"REM"	3.0952380952381	0.282697976859115
"REL"	1.90625	0.187079501601204
"RE"	1.5625	0.142502488469002
"RM"	5.69333333333333	0.506524399182277
"RL"	2.92957746478873	0.229007080506963
"RG"	5.06185567010309	0.423436692452329
"REx"	2.25773195876289	0.16005687248693
"RO"	3.81318681318681	0.414308222847961
"RF"	3.52427184466019	0.289364974327306
"RGO"	5.5	0.682221028637269
"RGF"	4.63265306122449	0.505660036731663
"REO"	1.93023255813953	0.192308781894662
"REF"	2.51851851851852	0.239000862169822
