"mean"	"StErr"
"RGE"	2.53333333333333	0.30973972512096
"RGM"	3.42424242424242	0.337185046731332
"RGL"	5.30769230769231	0.518424174821091
"REE"	9.41463414634146	0.547695404216722
"REM"	12.2826086956522	0.592760710067128
"REL"	13.575	0.672621640890978
"RE"	6.50704225352113	0.529938016737951
"RM"	8.58227848101266	0.618236226787045
"RL"	9.49367088607595	0.631035844857337
"RG"	3.88235294117647	0.268480816222122
"REx"	11.7637795275591	0.378700620337745
"RO"	8.22222222222222	0.548436557046023
"RF"	8.28571428571429	0.445633139496454
"RGO"	3.35185185185185	0.335587147159288
"RGF"	4.47916666666667	0.414700591956736
"REO"	12.3968253968254	0.594625046994233
"REF"	11.140625	0.462838886729977
