"p.value"	"corrected"	"significant"
"t1"	0.000156192315130986	0.00171811546644085	"yes"
"t2"	1.13670047059655e-13	1.93239080001413e-12	"yes"
"t3"	0.865536978122104	1	"no"
"t4"	9.20901645300549e-09	1.19717213889071e-07	"yes"
"t5"	0.337422576306207	1	"no"
"t6"	0.0273623537401431	0.208630044473503	"no"
"t7"	2.27624247178474e-09	3.18673946049863e-08	"yes"
"t8"	1.28923161563552e-08	1.54707793876262e-07	"yes"
"t9"	0.0260787555591879	0.208630044473503	"no"
"t10"	0.000250528569179688	0.00250528569179688	"yes"
"t11"	0.000427551375084	0.003847962375756	"yes"
"t12"	0.989624638815212	1	"no"
"t13"	2.34747880200719e-12	3.75596608321151e-11	"yes"
"t14"	1.30535819780245e-09	1.95803729670368e-08	"yes"
"t15"	0.0610484857136626	0.366290914281976	"no"
"t16"	0.514314939412268	1	"no"
"t17"	0.677927073045641	1	"no"
