"p.value"	"corrected"	"significant"
"KSo"	0.00308873028096398	0.0216211119667479	"marginally"
"KSe"	1.57372188772381e-15	2.67532720913048e-14	"yes"
"KHa"	0.7965347437051	1	"no"
"EGE"	0.864977894643859	1	"no"
"MGE"	2.61213790971186e-05	0.000261213790971186	"yes"
"LGE"	0.0128479473036157	0.077087683821694	"no"
"EMG"	1.13995244238183e-10	1.70992866357275e-09	"yes"
"ELG"	5.02467695278788e-05	0.00045222092575091	"yes"
"LMG"	7.15966787941835e-06	7.87563466736018e-05	"yes"
"EME"	4.32079490163952e-06	5.61703337213138e-05	"yes"
"ELE"	0.0229712199946191	0.114856099973095	"no"
"LME"	0.00224059837482188	0.0179247869985751	"marginally"
"EMA"	1.43011678227771e-14	2.28818685164433e-13	"yes"
"ELA"	5.29056779610444e-06	6.34868135532532e-05	"yes"
"LMA"	1.28494389462276e-06	1.79892145247187e-05	"yes"
"OFG"	0.169425771437146	0.508277314311439	"no"
"OFE"	0.0733465012285624	0.293386004914249	"no"
