"p.value"	"corrected"	"significant"
"t1"	0.425075176192775	1	"no"
"t2"	8.67160999764273e-14	1.47417369959926e-12	"yes"
"t3"	0.0980646229248415	0.588387737549049	"no"
"t4"	0.114059812917784	0.588387737549049	"no"
"t5"	0.60430786022088	1	"no"
"t6"	0.0777283437583579	0.583835916732969	"no"
"t7"	3.99515411907354e-07	5.1937003547956e-06	"yes"
"t8"	0.00873414070406925	0.0873414070406925	"no"
"t9"	0.00198040952270063	0.0217845047497069	"marginally"
"t10"	6.4961514990928e-06	7.79538179891136e-05	"yes"
"t11"	0.950729286081481	1	"no"
"t12"	7.42962234788415e-08	1.04014712870378e-06	"yes"
"t13"	1.24061335483199e-11	1.98498136773119e-10	"yes"
"t14"	0.0729794895916212	0.583835916732969	"no"
"t15"	9.6985148261976e-10	1.45477722392964e-08	"yes"
"t16"	0.844773340346106	1	"no"
"t17"	0.0132762377879024	0.119486140091121	"no"
