"p.value"	"corrected"	"significant"
"t1"	7.79687110285754e-09	1.01359324337148e-07	"yes"
"t2"	1.35516286461376e-13	2.30377686984339e-12	"yes"
"t3"	0.548027980974306	1	"no"
"t4"	0.0279808417817035	0.111923367126814	"no"
"t5"	1.05170447362161e-09	1.47238626307026e-08	"yes"
"t6"	7.91305113969633e-06	7.12174602572669e-05	"yes"
"t7"	6.72480765819257e-10	1.00872114872889e-08	"yes"
"t8"	3.11108796790166e-05	0.000217776157753116	"yes"
"t9"	5.46368016331341e-08	6.55641619597609e-07	"yes"
"t10"	8.99625270042308e-07	9.89587797046538e-06	"yes"
"t11"	0.00619305364886059	0.030965268244303	"marginally"
"t12"	0.00157245244932443	0.00943471469594658	"yes"
"t13"	1.41366163218635e-12	2.26185861149816e-11	"yes"
"t14"	1.85559349206813e-06	1.85559349206813e-05	"yes"
"t15"	1.32777519905369e-05	0.000106222015924295	"yes"
"t16"	0.689198196948521	1	"no"
"t17"	0.116527067756109	0.349581203268326	"no"
