"p.value"	"corrected"	"significant"
"t1"	3.7421226191021e-31	6.36160845247357e-30	"yes"
"t2"	0.00393095830323116	0.0353786247290804	"marginally"
"t3"	0.492764984182553	0.663531775979004	"no"
"t4"	1.38296212965211e-11	1.93614698151295e-10	"yes"
"t5"	2.01837933121083e-13	3.22940692993733e-12	"yes"
"t6"	1.11618074571748e-11	1.67427111857622e-10	"yes"
"t7"	0.0423602407246896	0.211801203623448	"no"
"t8"	6.6495868999479e-05	0.000812188090065401	"yes"
"t9"	0.0115054757930796	0.0920438063446368	"no"
"t10"	0.000877212781649753	0.00964934059814728	"yes"
"t11"	6.24760069281078e-05	0.000812188090065401	"yes"
"t12"	0.165882943994751	0.663531775979004	"no"
"t13"	0.0195624891895925	0.136937424327147	"no"
"t14"	0.00132995863797269	0.0132995863797269	"marginally"
"t15"	0.303265117057586	0.663531775979004	"no"
"t16"	0.0259579106703432	0.155747464022059	"no"
"t17"	0.218129939223895	0.663531775979004	"no"
