"Galloway"	"Exmoor"	"Skewed source"	"Open"	"Forest"	"Skewed habitat"
"Abacarus sp.1 (lolii)"	"269"	"18"	"YES: Gal"	"0"	"287"	"YES: Forest"
"Acrolocha sulcula"	"10"	"197786"	"YES: Exm"	"50850"	"146946"	"NO"
"Aleochara lanuginosa"	"2489"	"2533"	"NO"	"0"	"5022"	"YES: Forest"
"Anoplotrupes stercorosus"	"2025"	"0"	"YES: Gal"	"0"	"2025"	"YES: Forest"
"Anotylus tetracarinatus"	"5361"	"70352"	"YES: Exm"	"39037"	"36676"	"NO"
"Aphodius conspurcatus"	"137812"	"2298892"	"YES: Exm"	"810793"	"1625911"	"NO"
"Aphodius contaminatus"	"378820"	"237185"	"NO"	"301376"	"314629"	"NO"
"Aphodius fimetarius/pedellus"	"8458"	"0"	"YES: Gal"	"2052"	"6406"	"NO"
"Aphodius foetens"	"21"	"8508"	"YES: Exm"	"8529"	"0"	"YES: Open"
"Aphodius fossor"	"1124"	"0"	"YES: Gal"	"1124"	"0"	"YES: Open"
"Aphodius haemorrhoidalis"	"151595"	"0"	"YES: Gal"	"151595"	"0"	"YES: Open"
"Aphodius rufipes"	"46390"	"3882"	"YES: Gal"	"10937"	"39335"	"NO"
"Aphodius rufus"	"47961"	"179164"	"NO"	"212014"	"15111"	"YES: Open"
"Aphodius sp.12 (sphacelatus/prodromus)"	"390930"	"855968"	"NO"	"1212438"	"34460"	"YES: Open"
"Aphodius sp.2 (conspurcatus)"	"0"	"3993"	"YES: Exm"	"2361"	"1632"	"NO"
"Aphodius sphacelatus"	"74540"	"179637"	"NO"	"240751"	"13426"	"YES: Open"
"Aphodius sticticus"	"55337"	"575516"	"YES: Exm"	"291"	"630562"	"YES: Forest"
"Apsiphortica sp.1 (lini)"	"7491"	"163"	"YES: Gal"	"222"	"7432"	"YES: Forest"
"Atheta ischnocera"	"374"	"43059"	"YES: Exm"	"33286"	"10147"	"NO"
"Atheta longicornis"	"66703"	"1325"	"YES: Gal"	"85"	"67943"	"YES: Forest"
"Atheta setigera"	"0"	"49456"	"YES: Exm"	"37671"	"11785"	"NO"
"Atheta sordidula"	"0"	"2251"	"YES: Exm"	"1462"	"789"	"NO"
"Azelia sp.1 (cilipes/triquetra/zetterstedtii)"	"3035"	"14615"	"NO"	"719"	"16931"	"YES: Forest"
"Azelia sp.2 (triquetra/zetterstedtii)"	"0"	"3158"	"YES: Exm"	"1913"	"1245"	"NO"
"Baeocrara variolosa"	"0"	"1859"	"YES: Exm"	"174"	"1685"	"NO"
"Bovicola bovis"	"430381"	"0"	"YES: Gal"	"395799"	"34582"	"YES: Open"
"Brachystomella sp.1 (parvula)"	"2131"	"3924"	"NO"	"5691"	"364"	"YES: Open"
"Camptocladius stercorarius"	"6655"	"209884"	"YES: Exm"	"216331"	"208"	"YES: Open"
"Ceratophysella denticulata"	"1080261"	"871538"	"NO"	"1526131"	"425668"	"NO"
"Ceratophysella sp.1 (denticulata)"	"17536"	"18854"	"NO"	"18084"	"18306"	"NO"
"Cercyon melanocephalus"	"6780"	"11478"	"NO"	"16284"	"1974"	"NO"
"Cercyon pygmaeus"	"1502"	"46206"	"YES: Exm"	"9345"	"38363"	"NO"
"Coproica acutangula"	"0"	"13366"	"YES: Exm"	"13366"	"0"	"YES: Open"
"Copromyza equina"	"71733"	"14934"	"NO"	"44144"	"42523"	"NO"
"Copromyza sp.1 (equina)"	"1159759"	"390403"	"NO"	"499928"	"1050234"	"NO"
"Cryptopleurum minutum"	"2094"	"200474"	"YES: Exm"	"179648"	"22920"	"NO"
"Culicoides chiopterus"	"33234"	"0"	"YES: Gal"	"32823"	"411"	"YES: Open"
"Culicoides sp.2 (dewulfi/uncistylus)"	"404"	"17259"	"YES: Exm"	"10554"	"7109"	"NO"
"Desoria grisea"	"825990"	"497385"	"NO"	"120733"	"1202642"	"NO"
"Desoria sp.1 (grisea)"	"1105"	"42324"	"YES: Exm"	"40262"	"3167"	"YES: Open"
"Diptera sp.27"	"0"	"21081"	"YES: Exm"	"5638"	"15443"	"NO"
"Hebecnema sp.1 (fulva/fumosa/nigricolor)"	"7254"	"0"	"YES: Gal"	"0"	"7254"	"YES: Forest"
