"";"open";"forest";"galloway";"exmoor"
"1";"Abacarus hystrix";"Abacarus sp.1 (lolii)";"Abacarus hystrix";"Acrobasis repandana"
"2";"Acrostichus sp.2 (halicti)";"Acalypta parvula";"Acalypta parvula";"Acrotona aterrima"
"3";"Adineta sp.7 (steineri/vaga/gracilis)";"Aceria sp.1 (anthocoptes)";"Aceria sp.1 (anthocoptes)";"Acrotrichis cognata"
"4";"Adscita sp.1";"Achaeta aberrans";"Aceria tosichella";"Adineta sp.11 (vaga/beysunae)"
"5";"Aleochara intricata";"Achaeta bibulba";"Achaeta bibulba";"Agabus bipustulatus"
"6";"Aleochara sp.3 (tristis)";"Acrobasis repandana";"Adineta sp.6 (steineri)";"Agrilus laticornis"
"7";"Altica sp.1";"Acrotona aterrima";"Adineta steineri";"Ancylostoma sp.2 (ceylanicum)"
"8";"Amblytylus nasutus";"Acrotrichis cognata";"Adscita sp.1";"Ancylostoma sp.3 (duodenale)"
"9";"Angiostoma sp.1 (norvegicum)";"Adineta sp.11 (vaga/beysunae)";"Aleochara sp.3 (tristis)";"Andricus sp.1 (cecconii)"
"10";"Anguina agrostis";"Adineta sp.6 (steineri)";"Altica sp.1";"Anotylus inustus"
"11";"Anopheles sp.1";"Adineta steineri";"Amblytylus nasutus";"Anotylus sp.1 (tetracarinatus)"
"12";"Anopheles sp.2";"Agabus bipustulatus";"Ancylostoma sp.4 (tubaeforme)";"Anthocoris sarothamni"
"13";"Aphidius sp.2";"Agrilus laticornis";"Angiostoma sp.1 (norvegicum)";"Aphidius sp.2"
"14";"Aphodius distinctus";"Aleochara lanuginosa";"Anguina agrostis";"Aphodius prodromus"
"15";"Aphodius erraticus";"Andricus sp.1 (cecconii)";"Anomoia purmunda";"Aphodius sp.2 (conspurcatus)"
"16";"Aphodius foetens";"Anomoia purmunda";"Anopheles sp.1";"Aporrectodea sp.2 (longa/giardi)"
"17";"Aphodius fossor";"Anoplotrupes stercorosus";"Anopheles sp.2";"Aprionus sp.1 (bispinosus)"
"18";"Aphodius haemorrhoidalis";"Anoscopus flavostriatus";"Anoplotrupes stercorosus";"Arion silvaticus"
"19";"Aphodius sp.1 (coenusus)";"Anotylus inustus";"Anoscopus flavostriatus";"Arion sp.3 (ater/subfuscus/vulgaris)"
"20";"Baeocrara sp.1 (variolosa)";"Anotylus sp.1 (tetracarinatus)";"Aphelenchoides ritzemabosi";"Arion sp.4 (lusitanicus/vulgaris/ater)"
"21";"Brachystomella parvula";"Anthocoris sarothamni";"Aphodius depressus";"Asciodema sp.1 (obsoletum)"
"22";"Bradysia longicubitalis";"Aphelenchoides ritzemabosi";"Aphodius erraticus";"Atheta cinnamoptera"
"23";"Bradysia sp.2 (nitidicollis)";"Aphodius prodromus";"Aphodius fimetarius/pedellus";"Atheta laevana"
"24";"Bryotropha terrella";"Aphodius sp.7 (rufipes)";"Aphodius fossor";"Atheta setigera"
"25";"Bursaphelenchus sp.1 (abruptus)";"Aporrectodea sp.1";"Aphodius haemorrhoidalis";"Atheta sordidula"
"26";"Bursaphelenchus sp.5 (rufipennis)";"Aprionus sp.1 (bispinosus)";"Aphodius sp.1 (coenusus)";"Azelia sp.2 (triquetra/zetterstedtii)"
"27";"Bursaphelenchus sp.6 (sexdentati)";"Archiborborus sp.1 (maculipennis)";"Aphodius sp.7 (rufipes)";"Baeocrara sp.1 (variolosa)"
"28";"Camptocladius sp.1 (stercorarius)";"Arion sp.3 (ater/subfuscus/vulgaris)";"Archiborborus sp.1 (maculipennis)";"Baeocrara variolosa"
"29";"Candona candida";"Arion sp.4 (lusitanicus/vulgaris/ater)";"Azelia cilipes";"Baryscapus sp.1 (pallidae)"
"30";"Cecidomyiidae sp.1";"Atheta cinnamoptera";"Bimastos eiseni";"Bisnius puella"
"31";"Chaetocladius sp.1 (piger)";"Atheta laevana";"Bos taurus";"Bradysia longicubitalis"
"32";"Chamaedrilus pseudosphagnetorum";"Austrosciara sp.2 (hyalipennis/exigua)";"Bovicola bovis";"Bradysia sp.3 (nitidicollis/polonica/atroparva)"
"33";"Chlamydatus pullus";"Azelia cilipes";"Brachystomella parvula";"Bruchidius villosus"
"34";"Chromadorea sp.1";"Baryscapus sp.1 (pallidae)";"Bradysia placida";"Bursaphelenchus sp.5 (rufipennis)"
"35";"Chromadorea sp.10";"Bimastos eiseni";"Bradysia trivittata";"Calathus rotundicollis"
"36";"Chromadorea sp.103";"Bisnius puella";"Bryodrilus sp.1 (parvus/librus)";"Camptocladius sp.1 (stercorarius)"
"37";"Chromadorea sp.104";"Bradysia cinerascens";"Bryotropha terrella";"Candona candida"
"38";"Chromadorea sp.106";"Bradysia placida";"Bunostomum phlebotomum";"Canthocamptus staphylinus"
"39";"Chromadorea sp.119";"Bradysia sp.3 (nitidicollis/polonica/atroparva)";"Bunostomum sp.1 (phlebotomum)";"Carabus violaceus"
"40";"Chromadorea sp.125";"Bradysia trivittata";"Bursaphelenchus sp.2 (africanus)";"Cecidomyiidae sp.1"
"41";"Chromadorea sp.129";"Bruchidius villosus";"Bursaphelenchus sp.3 (africanus/paraburgeri)";"Chamaedrilus glandulosus"
"42";"Chromadorea sp.138";"Bryodrilus sp.1 (parvus/librus)";"Bursaphelenchus sp.4 (paraburgeri)";"Chamaedrilus pseudosphagnetorum"
"43";"Chromadorea sp.14";"Bunostomum sp.1 (phlebotomum)";"Bursaphelenchus sp.6 (sexdentati)";"Chlamydatus pullus"
"44";"Chromadorea sp.144";"Bursaphelenchus sp.2 (africanus)";"Caenorhabditis sp.1 (angaria)";"Chromadorea sp.119"
"45";"Chromadorea sp.147";"Bursaphelenchus sp.3 (africanus/paraburgeri)";"Caenorhabditis sp.5 (sinica)";"Chromadorea sp.124"
"46";"Chromadorea sp.158";"Caenorhabditis sp.7 (wallacei)";"Caenorhabditis sp.6 (virilis)";"Chromadorea sp.136"
"47";"Chromadorea sp.32";"Calathus rotundicollis";"Calliteara pudibunda";"Chromadorea sp.138"
"48";"Chromadorea sp.33";"Calliteara pudibunda";"Cassida sanguinolenta";"Chromadorea sp.147"
"49";"Chromadorea sp.41";"Carabus violaceus";"Cepaea hortensis";"Chromadorea sp.157"
"50";"Chromadorea sp.53";"Cassida sanguinolenta";"Ceratophysella bengtssoni";"Chromadorea sp.158"
"51";"Chromadorea sp.58";"Cepaea hortensis";"Cercyon impressus";"Chromadorea sp.160"
"52";"Chromadorea sp.69";"Ceratophysella bengtssoni";"Cercyon lateralis";"Chromadorea sp.50"
"53";"Chromadorea sp.7";"Chamaedrilus sphagnetorum";"Chaetocladius sp.1 (piger)";"Chromadorea sp.6"
"54";"Chromadorea sp.71";"Chromadorea sp.102";"Chamaedrilus sphagnetorum";"Chromadorea sp.69"
"55";"Chromadorea sp.77";"Chromadorea sp.109";"Chromadorea sp.1";"Chromadorea sp.77"
"56";"Chromadorea sp.8";"Chromadorea sp.11";"Chromadorea sp.10";"Chromadorea sp.85"
"57";"Chromadorea sp.81";"Chromadorea sp.112";"Chromadorea sp.101";"Chromadorea sp.93"
"58";"Chromadorea sp.85";"Chromadorea sp.12";"Chromadorea sp.102";"Chromatomyia milii"
"59";"Chromadorea sp.88";"Chromadorea sp.124";"Chromadorea sp.103";"Chydorus sphaericus"
"60";"Chromadorea sp.90";"Chromadorea sp.131";"Chromadorea sp.104";"Cloeon dipterum"
"61";"Chromadorea sp.97";"Chromadorea sp.132";"Chromadorea sp.106";"Coccinella septempunctata"
"62";"Chydorus sphaericus";"Chromadorea sp.152";"Chromadorea sp.109";"Coleophora lutipennella"
"63";"Coccinella septempunctata";"Chromadorea sp.155";"Chromadorea sp.11";"Conistra vaccinii"
"64";"Conistra vaccinii";"Chromadorea sp.157";"Chromadorea sp.110";"Coproica acutangula"
"65";"Coproica acutangula";"Chromadorea sp.19";"Chromadorea sp.112";"Copromyza sordida"
"66";"Copromyza sordida";"Chromadorea sp.21";"Chromadorea sp.12";"Cortinicara gibbosa"
"67";"Copromyza sp.2 (neglecta)";"Chromadorea sp.29";"Chromadorea sp.123";"Corynoneura scutellata"
"68";"Crossopalpus humilis";"Chromadorea sp.39";"Chromadorea sp.125";"Culiseta sp.1 (morsitans/fumipennis)"
"69";"Culicidae sp.1";"Chromadorea sp.40";"Chromadorea sp.129";"Curculio glandium"
"70";"Culicidae sp.2";"Chromadorea sp.43";"Chromadorea sp.131";"Curculio venosus"
"71";"Culicoides poperinghensis";"Chromadorea sp.46";"Chromadorea sp.132";"Cyathostomum catinatum"
"72";"Culicoides pulicaris";"Chromadorea sp.49";"Chromadorea sp.14";"Cyathostomum pateratum"
"73";"Culicoides punctatus";"Chromadorea sp.50";"Chromadorea sp.144";"Cyathostomum sp.2 (pateratum/catinatum)"
"74";"Curculio venosus";"Chromadorea sp.74";"Chromadorea sp.152";"Cyclopidae sp. 1"
"75";"Cyathostomum pateratum";"Chromadorea sp.87";"Chromadorea sp.155";"Cydia pomonella"
"76";"Cyclopidae sp. 1";"Chromadorea sp.89";"Chromadorea sp.19";"Cydia splendana"
"77";"Cydia pomonella";"Chromadorea sp.93";"Chromadorea sp.2";"Cylicocyclus insigne"
"78";"Dasineura sp.1 (urticae)";"Chromatomyia milii";"Chromadorea sp.21";"Cylicostephanus minutus"
"79";"Dasyneuriola sp.1 (prolifica)";"Cloeon dipterum";"Chromadorea sp.29";"Cylicostephanus sp.1 (calicatus)"
"80";"Delphacidae sp.1";"Conomelus anceps";"Chromadorea sp.3";"Cylicostephanus sp.4 (minutus)"
"81";"Deroceras laeve";"Cortinicara gibbosa";"Chromadorea sp.30";"Dasyneuriola sp.1 (prolifica)"
"82";"Dicyrtoma fusca";"Corynoneura scutellata";"Chromadorea sp.31";"Dasytes sp.1 (cyaneus/caeruleus)"
"83";"Diphascon higginsi";"Crumomyia sp.1 (pilosa)";"Chromadorea sp.32";"Dendrodrilus rubidus"
"84";"Diptera sp.11";"Culiseta sp.1 (morsitans/fumipennis)";"Chromadorea sp.33";"Deroceras laeve"
"85";"Diptera sp.12";"Curculio glandium";"Chromadorea sp.34";"Diphascon higginsi"
"86";"Diptera sp.14";"Cylindroiulus sp.1 (punctatus/latestriatus)";"Chromadorea sp.36";"Diphascon pingue"
"87";"Diptera sp.18";"Dasytes sp.1 (cyaneus/caeruleus)";"Chromadorea sp.39";"Diptera sp.16"
"88";"Diptera sp.21";"Deltocephalus pulicaris";"Chromadorea sp.40";"Diptera sp.18"
"89";"Diptera sp.26";"Dendrodrilus rubidus";"Chromadorea sp.41";"Diptera sp.27"
"90";"Diptera sp.28";"Dicyrtomina minuta";"Chromadorea sp.43";"Diptera sp.28"
"91";"Diptera sp.38";"Dicyrtomina saundersi";"Chromadorea sp.46";"Diptera sp.31"
"92";"Diptera sp.39";"Diptera sp.16";"Chromadorea sp.49";"Diptera sp.39"
"93";"Diptera sp.42";"Diptera sp.19";"Chromadorea sp.53";"Diptera sp.54"
"94";"Diptera sp.54";"Diptera sp.31";"Chromadorea sp.58";"Diptera sp.77"
"95";"Diptera sp.58";"Diptera sp.40";"Chromadorea sp.7";"Diptera sp.8"
"96";"Diptera sp.60";"Diptera sp.41";"Chromadorea sp.71";"Discus sp.1 (rotundatus)"
"97";"Diptera sp.7";"Diptera sp.48";"Chromadorea sp.74";"Ditula angustiorana"
"98";"Diptera sp.71";"Diptera sp.53";"Chromadorea sp.76";"Ectoedemia sp.2"
"99";"Diptera sp.74";"Diptera sp.76";"Chromadorea sp.8";"Elachista canapennella"
"100";"Diptera sp.8";"Discus sp.1 (rotundatus)";"Chromadorea sp.81";"Entomobryidae sp.1"
