"";"open";"forest";"galloway";"exmoor"
"1";"Aphodius foetens";"Abacarus sp.1 (lolii)";"Anoplotrupes stercorosus";"Aphodius sp.2 (conspurcatus)"
"2";"Aphodius fossor";"Aleochara lanuginosa";"Aphodius fimetarius/pedellus";"Atheta setigera"
"3";"Aphodius haemorrhoidalis";"Anoplotrupes stercorosus";"Aphodius fossor";"Atheta sordidula"
"4";"Coproica acutangula";"Hebecnema sp.1 (fulva/fumosa/nigricolor)";"Aphodius haemorrhoidalis";"Azelia sp.2 (triquetra/zetterstedtii)"
"5";"Hylemya variata";"0";"Bovicola bovis";"Baeocrara variolosa"
"6";"Musca autumnalis";"0";"Culicoides chiopterus";"Coproica acutangula"
"7";"Saltella sphondylii";"0";"Hebecnema sp.1 (fulva/fumosa/nigricolor)";"Diptera sp.27"
"8";"Sepsis duplicata";"0";"Hebecnema umbratica";"Ptenidium nitidum"
"9";"Sepsis thoracica";"0";"Hylemya variata";"Smittia aterrima"
"10";"Sphaeridium bipustulatum";"0";"Lotophila atra";"Tachinus marginellus"
"11";"Sphaeridium scarabaeoides";"0";"Mesembrina meridiana";"0"
"12";"Sphaeridium sp.1 (lunatum/bipustulatum)";"0";"Musca autumnalis";"0"
"13";"0";"0";"Mydaea sp.2 (urbana/neglecta)";"0"
"14";"0";"0";"Psychoda phalaenoides";"0"
"15";"0";"0";"Psychoda setigera";"0"
"16";"0";"0";"Saltella sphondylii";"0"
"17";"0";"0";"Scathophaga stercoraria";"0"
"18";"0";"0";"Scheloribates clavilanceolatus";"0"
"19";"0";"0";"Sepsis cynipsea";"0"
"20";"0";"0";"Sepsis duplicata";"0"
"21";"0";"0";"Sepsis sp.1 (cynipsea/neocynipsea)";"0"
"22";"0";"0";"Sepsis sp.5 (flavimana/neocynipsea)";"0"
"23";"0";"0";"Sepsis thoracica";"0"
"24";"0";"0";"Telomerina sp.1 (flavipes)";"0"
