"";"open";"forest";"galloway";"exmoor"
"1";"Coproica acutangula";"Hebecnema sp.1 (fulva/fumosa/nigricolor)";"Culicoides chiopterus";"Azelia sp.2 (triquetra/zetterstedtii)"
"2";"Hylemya variata";"0";"Hebecnema sp.1 (fulva/fumosa/nigricolor)";"Coproica acutangula"
"3";"Musca autumnalis";"0";"Hebecnema umbratica";"Diptera sp.27"
"4";"Saltella sphondylii";"0";"Hylemya variata";"Smittia aterrima"
"5";"Sepsis duplicata";"0";"Lotophila atra";"0"
"6";"Sepsis thoracica";"0";"Mesembrina meridiana";"0"
"7";"0";"0";"Musca autumnalis";"0"
"8";"0";"0";"Mydaea sp.2 (urbana/neglecta)";"0"
"9";"0";"0";"Psychoda phalaenoides";"0"
"10";"0";"0";"Psychoda setigera";"0"
"11";"0";"0";"Saltella sphondylii";"0"
"12";"0";"0";"Scathophaga stercoraria";"0"
"13";"0";"0";"Sepsis cynipsea";"0"
"14";"0";"0";"Sepsis duplicata";"0"
"15";"0";"0";"Sepsis sp.1 (cynipsea/neocynipsea)";"0"
"16";"0";"0";"Sepsis sp.5 (flavimana/neocynipsea)";"0"
"17";"0";"0";"Sepsis thoracica";"0"
"18";"0";"0";"Telomerina sp.1 (flavipes)";"0"
