"";"open";"forest";"galloway";"exmoor"
"1";"0";"0";"Bunostomum phlebotomum";"Chromadorea sp.6"
"2";"0";"0";"Cooperia oncophora";"Cyathostomum catinatum"
"3";"0";"0";"Ostertagia ostertagi";"Cyathostomum sp.2 (pateratum/catinatum)"
"4";"0";"0";"Ostertagia sp.1 (ostertagi/lyrata)";"Cylicocyclus insigne"
"5";"0";"0";"0";"Cylicostephanus minutus"
"6";"0";"0";"0";"Cylicostephanus sp.1 (calicatus)"
"7";"0";"0";"0";"Cylicostephanus sp.4 (minutus)"
"8";"0";"0";"0";"Strongylus equinus"
"9";"0";"0";"0";"Strongylus vulgaris"
"10";"0";"0";"0";"Triodontophorus serratus"
"11";"0";"0";"0";"Triodontophorus sp.1 (brevicauda)"
