sample	source	habitat	month	season	samplingdate	samplinghour	samplingminute	summertime	samplingsequence	lat	lon	extractiondate	inhibitex	water	cne	type
JAN1	galloway	open	January	winter	28/01/2020	12	57	0	8	56.227546	10.588835	30/09/2020	0	500	CNE2	sample
JAN2	galloway	open	January	winter	28/01/2020	12	58	0	9	56.227581	10.588504	30/09/2020	0	500	CNE2	sample
JAN3	galloway	open	January	winter	28/01/2020	1	20	0	11	56.227434	10.588184	30/09/2020	0	500	CNE2	sample
JAN4	galloway	open	January	winter	28/01/2020	1	30	0	13	56.227222	10.588333	30/09/2020	0	500	CNE2	sample
JAN5	galloway	open	January	winter	28/01/2020	1	41	0	15	56.226667	10.588056	30/09/2020	0	500	CNE2	sample
JAN6	exmoor	open	January	winter	28/01/2020	1	11	0	10	56.227497	10.588549	30/09/2020	0	1000	CNE2	sample
JAN7	exmoor	open	January	winter	28/01/2020	12	31	0	12	56.22737	10.588172	30/09/2020	0	1000	CNE2	sample
JAN8	exmoor	open	January	winter	28/01/2020	12	33	0	14	56.227222	10.588333	30/09/2020	0	1000	CNE2	sample
JAN9	exmoor	open	January	winter	28/01/2020	1	44	0	16	56.226667	10.587778	30/09/2020	0	1000	CNE2	sample
JAN10	exmoor	open	January	winter	28/01/2020	1	49	0	17	56.226667	10.5875	30/09/2020	0	1000	CNE2	sample
JAN11	galloway	forest	January	winter	28/01/2020	11	46	0	2	56.228943	10.5844	23/09/2020	0	500	CNE1	sample
JAN12	galloway	forest	January	winter	28/01/2020	11	54	0	3	56.228785	10.584811	23/09/2020	0	500	CNE1	sample
JAN13	galloway	forest	January	winter	28/01/2020	12	7	0	5	56.228709	10.585065	23/09/2020	0	500	CNE1	sample
JAN14	galloway	forest	January	winter	28/01/2020	2	13	0	20	56.227222	10.583333	23/09/2020	0	500	CNE1	sample
JAN15	galloway	forest	January	winter	28/01/2020	2	7	0	18	56.227222	10.583611	23/09/2020	0	500	CNE1	sample
JAN16	exmoor	forest	January	winter	28/01/2020	11	29	0	1	56.228938	10.584031	23/09/2020	0	1000	CNE1	sample
JAN17	exmoor	forest	January	winter	28/01/2020	12	0	0	4	56.228938	10.584031	23/09/2020	0	1000	CNE1	sample
JAN18	exmoor	forest	January	winter	28/01/2020	12	26	0	6	56.228663	10.587482	23/09/2020	0	1000	CNE1	sample
JAN19	exmoor	forest	January	winter	28/01/2020	12	41	0	7	56.228008	10.587394	23/09/2020	0	1000	CNE1	sample
