seq5;1955577;Antarctomyces pellizariae
seq6;1955577;Antarctomyces pellizariae
seq9;1955577;Antarctomyces pellizariae
seq10;1955577;Antarctomyces pellizariae
seq11;7197;Psychodidae
seq12;7197;Psychodidae
seq31;38820;Poales
seq32;38820;Poales
seq41;207138;Aphodius conspurcatus
seq43;207138;Aphodius conspurcatus
seq54;207138;Aphodius conspurcatus
seq57;207138;Aphodius conspurcatus
seq59;53996;Cylicocyclus ashworthi
seq60;1628348;Cognettia chlorophila
seq65;53996;Cylicocyclus ashworthi
seq68;207213;Aphodius sticticus
seq70;207213;Aphodius sticticus
seq72;1628348;Cognettia chlorophila
seq78;66345;Oxytelus
seq79;66345;Oxytelus
seq80;53996;Cylicocyclus ashworthi
seq84;281417;Desoria
seq87;281417;Desoria
seq88;53996;Cylicocyclus ashworthi
seq95;2886588;Chaetopodella scutellaris
seq98;2886588;Chaetopodella scutellaris
seq102;1;root
seq105;52748;Anisopodidae
seq108;1;root
seq112;292389;Saltella sphondylii
seq115;52748;Anisopodidae
seq116;292389;Saltella sphondylii
seq118;2752224;Smittia sp. F190
seq119;187617;Ceratophysella
seq121;187617;Ceratophysella
seq127;207207;Aphodius rufus
seq134;207207;Aphodius rufus
seq137;187617;Ceratophysella
seq142;187617;Ceratophysella
seq148;1;root
seq149;1;root
seq152;2752224;Smittia sp. F190
seq154;225274;Melinopterus
seq155;225274;Melinopterus
seq157;43910;Muscinae
seq159;53996;Cylicocyclus ashworthi
seq170;53996;Cylicocyclus ashworthi
seq171;295599;Acrolocha sulcula
seq172;33213;Bilateria
seq173;43910;Muscinae
seq177;33213;Bilateria
seq178;295599;Acrolocha sulcula
seq180;59891;Cyathostomum catinatum
seq182;59891;Cyathostomum catinatum
seq183;1;root
seq185;7149;Chironomidae
seq186;7149;Chironomidae
seq187;53993;Cyathostomum
seq188;1;root
seq191;34379;Pseudeurotiaceae
seq192;34379;Pseudeurotiaceae
seq193;53993;Cyathostomum
seq196;6314;Trichostrongyloidea
seq202;1;root
seq206;137507;Sepsis
seq207;6314;Trichostrongyloidea
seq209;676298;unclassified Isotomidae
seq210;1;root
seq212;676298;unclassified Isotomidae
seq214;137507;Sepsis
seq222;4447;Liliopsida
seq223;4447;Liliopsida
seq226;2759;Eukaryota
seq227;2759;Eukaryota
seq228;53996;Cylicocyclus ashworthi
seq230;137507;Sepsis
seq231;137507;Sepsis
seq246;53996;Cylicocyclus ashworthi
seq250;59891;Cyathostomum catinatum
seq251;59891;Cyathostomum catinatum
seq256;207140;Aphodius contaminatus
seq257;207140;Aphodius contaminatus
seq266;1;root
seq277;53996;Cylicocyclus ashworthi
seq278;147548;Leotiomycetes
seq280;147548;Leotiomycetes
seq281;1;root
seq284;207140;Aphodius contaminatus
seq286;207140;Aphodius contaminatus
seq287;53996;Cylicocyclus ashworthi
seq290;1;root
seq293;53996;Cylicocyclus ashworthi
seq302;347317;Cryptopleurum minutum
seq303;346822;Philonthus tenuicornis
seq304;53996;Cylicocyclus ashworthi
seq305;346822;Philonthus tenuicornis
