seq10637	seq11537	seq11887	seq12125	seq1752	seq1807	seq23326	seq24847	seq3037	seq3116	seq32090	seq44417	seq49336	seq54391	seq5581	seq5602	seq7607	seq8089	seq9084	seq9145	seq53154
MAR19_1	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0
APR5_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60
JUN12_1	0	0	0	0	51	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JUL2_1	0	0	0	0	0	0	0	0	102	86	0	0	0	0	0	0	0	0	0	0	0
JUL3_1	0	0	0	0	249	256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AUG5_1	0	163	168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JUN15_2	443	0	0	382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JUL1_2	0	0	0	0	0	0	0	0	18	21	0	0	0	0	0	0	0	0	0	0	0
JUN11_4	0	262	243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JUL14_4	0	0	0	0	34	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JUL15_4	0	0	0	0	58	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OCT13_1	0	0	0	0	2610	2440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OCT6_2	0	0	0	0	0	0	0	0	0	0	111	59	0	0	0	0	0	0	0	0	0
OCT15_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	914	910	0	0	0	0	0
SEP1_4	0	0	0	0	178	165	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0
SEP11_4	0	0	0	0	0	0	0	0	1518	1461	0	0	0	0	0	0	0	616	549	0	0
NOV11_1	0	0	0	0	0	0	0	0	92	106	0	0	0	0	0	0	0	0	0	0	0
DEC13_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	658	0	0	545	0
NOV4_2	0	0	0	0	145	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DEC9_3	0	0	0	0	77	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DEC20_4	0	0	0	0	245	229	177	162	0	0	0	0	0	0	0	0	0	0	0	0	0
DEC5_4	22	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
