class;order;family;genus;januar.galloway;januar.exmoor;februar.galloway;februar.exmoor;marts.galloway;marts.exmoor;april.galloway;april.exmoor;maj.galloway;maj.exmoor;juni.galloway;juni.exmoor;juli.galloway;juli.exmoor;august.galloway;august.exmoor;september.galloway;september.exmoor;oktober.galloway;oktober.exmoor;november.galloway;november.exmoor;december.galloway;december.exmoor;total.reads
Bryopsida;Hypnales;Brachytheciaceae;Brachythecium;0;0;0;0;0;0;0;0;0;0;0;0;0;0;885;0;0;0;0;0;0;0;0;0;885
;;;Pseudoscleropodium;0;72;0;0;0;0;122;512;0;0;0;0;0;0;0;2447;0;0;0;0;0;0;0;0;3153
;;Hypnaceae;Hypnum;0;0;0;0;0;0;0;1194;0;0;0;0;0;0;0;15706;0;0;0;0;0;0;0;0;16900
Magnoliopsida;unidentified;unidentified;Magnoliopsida unidentified;0;69;0;0;0;0;122;0;323;229;1712;0;0;785;4272;0;215;109;0;0;0;0;0;0;7836
;Alismatales;Juncaginaceae;Triglochin;0;0;0;0;0;0;0;0;80;0;705;0;451;1030;0;0;0;0;0;0;0;0;0;0;2266
;Apiales;Apiaceae;Anthriscus;0;0;0;0;4688;0;2956;0;0;442;0;38958;0;0;0;0;0;4126;0;0;0;0;0;0;51170
;;;Berula;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2745;0;0;0;2745
;;;Chaerophyllum;0;0;0;0;1517;0;113;0;0;0;2027;0;0;0;0;0;0;0;0;0;0;0;0;0;3657
;;;Pimpinella;0;0;509;0;0;0;0;1892;0;0;0;364;7729;239;0;2966;4168;7077;0;4548;0;0;6570;3985;40047
;Asterales;Asteraceae;Artemisia;0;0;0;0;0;0;229;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;229
;;;Asteraceae unidentified;2198;1445;2115;0;12707;5580;618;5032;0;0;2342;24013;10197;2505;35047;3428;36264;48364;7481;14907;1530;1103;22785;35566;275227
;;;Bellis;0;0;0;0;0;0;0;531;1064;763;0;0;0;0;0;0;0;0;0;0;1063;0;0;0;3421
;;;Cirsium;32573;622;13461;0;0;0;547;0;0;0;611;0;0;330;239;612;202;339;12561;237;2250;4561;0;0;69145
;;;Crepis;974;437;0;0;0;0;2795;1822;0;2085;0;0;374;787;819;0;967;126356;0;1062;0;347;0;0;138825
;;;Hieracium;0;0;0;0;0;0;0;0;0;0;0;8042;0;0;0;4869;0;0;1430;0;975;0;0;2186;17502
;;;Hypochaeris;65652;6558;26616;3030;67093;56997;63398;32131;11681;2006;272203;143222;54855;209425;26451;48075;66838;80043;109413;36951;26689;63391;102102;92583;1667403
;;;Scorzoneroides;0;0;0;0;3416;958;2426;1005;0;0;2706;4128;2079;1265;12067;12115;22237;11719;16862;11845;11112;0;485;5530;121955
;;;Solidago;0;0;0;0;0;0;0;1477;0;0;0;0;0;0;0;1144;404;0;0;0;0;0;0;3852;6877
;;;Sonchus;0;0;0;0;0;0;0;0;0;0;0;0;4612;0;0;0;0;0;0;0;0;0;0;0;4612
;;;Taraxacum;0;0;0;0;1259;0;13109;8313;2287;467;0;0;0;2724;1541;6393;0;2285;1775;210;1360;0;0;0;41723
;;Campanulaceae;Campanula;0;2258;0;0;0;0;0;0;431;0;0;1354;301;0;0;2148;0;0;0;0;0;0;4024;0;10516
;Boraginales;Boraginaceae;Myosotis;0;0;0;0;0;0;767;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;767
;Brassicales;Brassicaceae;Alliaria;0;0;0;0;6214;0;352;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6566
;;;Capsella;0;0;0;0;0;0;0;0;400;2755;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3155
;;;Cardamine;0;0;0;0;0;0;121888;18218;10148;2480;511;0;0;0;0;0;0;0;0;0;0;0;0;0;153245
;;;Draba;0;0;0;0;0;0;45789;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45789
;;;Nasturtium;0;0;0;0;0;0;0;0;0;0;0;0;0;457;0;0;0;0;0;0;0;0;0;0;457
;;;Sisymbrium;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2042;0;0;0;0;0;2042
;;;Teesdalia;0;0;0;0;0;0;0;0;1341;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1341
;;;Turritis;0;0;0;0;0;0;224;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;224
;Caryophyllales;Caryophyllaceae;Caryophyllaceae unidentified;0;0;0;0;0;0;19501;7357;0;0;0;9098;0;0;0;0;0;0;1630;0;0;0;0;0;37586
;;;Cerastium;876;474;2253;0;11483;677;4131;1716;2369;2178;17578;179975;22416;23746;86764;10623;0;773;950;10922;0;864;7428;2445;390641
;;;Dianthus;0;0;0;0;0;0;1300;0;198;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1498
;;;Moehringia;0;637;240;519;2861;0;4898;0;126;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9281
;;;Sagina;0;0;0;0;0;0;0;0;0;0;0;0;0;859;0;0;0;0;0;0;0;0;0;0;859
;;;Stellaria;44;4832;0;168;4639;1093;42457;33208;7936;2361;2570;0;6600;5531;0;3413;0;57871;6641;8103;15811;0;269;1316;204863
;;Polygonaceae;Persicaria;0;0;0;0;0;0;0;0;0;2735;0;3000;0;2868;0;2397;0;0;0;0;0;0;0;0;11000
;;;Polygonum;0;0;0;0;180;0;442;0;540;3934;5522;5796;7048;15080;36093;72480;1603;6815;0;0;0;0;0;0;155533
;;;Rumex;4881;240;6536;56768;507979;60662;468008;404914;1756397;1135391;2395577;1406770;387017;544112;50822;56366;180500;31705;47943;2673;3569;4381;27405;14499;9555115
;Dipsacales;Adoxaceae;Sambucus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23760;0;0;0;0;23760
;;Caprifoliaceae;Knautia;0;0;0;0;6653;0;0;0;0;0;0;441;3123;954;0;3647;10287;4113;0;0;686;589;6762;4540;41795
;;;Lonicera;0;0;0;0;0;0;0;5254;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5254
;Ericales;Ericaceae;Calluna;80231;262692;78294;134356;1030595;111981;125766;21465;0;0;0;58047;9708;32475;56711;259912;12205;209753;718740;74032;155462;320403;1503851;326938;5583617
;;;Empetrum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;324;0;324
;;;Ericaceae unidentified;0;0;0;0;0;0;0;0;0;0;0;0;3606;4760;785;640;0;0;0;0;0;0;0;0;9791
;;;Vaccinium;689;7140;455065;2327;0;0;4235;0;250;169548;0;0;219665;245305;105789;123419;0;0;0;0;0;0;0;0;1333432
;;Primulaceae;Hottonia;0;0;1098;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;106;0;0;0;0;0;1204
;;;Lysimachia;0;0;0;0;0;0;3563;0;281;1442;1258;0;781;1246;0;0;0;0;0;0;0;0;0;0;8571
;Fabales;Fabaceae;Anthyllis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4072;0;4072
;;;Cytisus;20664;26271;74412;81441;104265;81465;29305;59243;66655;41188;6631;81963;11145;8946;0;1581;17226;15139;21700;26387;16217;63877;35818;31390;922929
;;;Genista;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;446;0;446
;;;Lotus;127871;253;35664;19694;22914;109925;70639;5641;266938;90924;566049;61608;373338;168576;261464;190389;46535;26780;73374;10361;339475;27804;101;0;2896317
;;;Medicago;0;0;0;0;0;0;0;0;0;0;0;0;1220;0;0;0;0;0;68249;0;0;0;0;0;69469
;;;Ononis;0;0;0;0;0;0;0;0;0;0;0;3473;683;844;0;1526;0;8510;0;0;0;0;0;454;15490
;;;Ornithopus;0;0;0;0;0;0;0;335;163;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;498
;;;Trifolium;0;0;0;0;0;22092;5763;7587;989189;402311;1318357;1104750;598791;348952;325595;154552;12928;467565;53974;19218;705;277;1825;507;5834938
;;;Vicia;0;0;0;0;109;0;866;0;1657;248;23786;3848;0;2561;0;0;0;0;0;0;0;0;0;0;33075
