"";"APR1";"APR10";"APR11";"APR12";"APR13";"APR14";"APR15";"APR16";"APR17";"APR18";"APR19";"APR2";"APR20";"APR3";"APR4";"APR5";"APR6";"APR7";"APR8";"APR9";"AUG1";"AUG10";"AUG11";"AUG12";"AUG13";"AUG14";"AUG15";"AUG16";"AUG17";"AUG18";"AUG19";"AUG2";"AUG20";"AUG3";"AUG5";"AUG6";"AUG7";"AUG8";"AUG9";"DEC1";"DEC10";"DEC11";"DEC12";"DEC13";"DEC14";"DEC15";"DEC16";"DEC17";"DEC18";"DEC19";"DEC2";"DEC20";"DEC3";"DEC4";"DEC5";"DEC6";"DEC7";"DEC8";"DEC9";"FEB1";"FEB10";"FEB11";"FEB12";"FEB13";"FEB14";"FEB15";"FEB16";"FEB17";"FEB18";"FEB19";"FEB2";"FEB20";"FEB3";"FEB4";"FEB5";"FEB6";"FEB7";"FEB8";"FEB9";"JAN1";"JAN10";"JAN11";"JAN12";"JAN13";"JAN14";"JAN15";"JAN16";"JAN17";"JAN18";"JAN19";"JAN2";"JAN20";"JAN3";"JAN4";"JAN5";"JAN6";"JAN7";"JAN8";"JAN9";"JUL1";"JUL10";"JUL11";"JUL12";"JUL13";"JUL14";"JUL15";"JUL16";"JUL17";"JUL18";"JUL19";"JUL2";"JUL20";"JUL3";"JUL4";"JUL5";"JUL6";"JUL7";"JUL8";"JUL9";"JUN1";"JUN10";"JUN11";"JUN12";"JUN13";"JUN14";"JUN15";"JUN16";"JUN17";"JUN18";"JUN19";"JUN2";"JUN20";"JUN3";"JUN4";"JUN5";"JUN6";"JUN7";"JUN8";"JUN9";"MAR1";"MAR10";"MAR11";"MAR12";"MAR13";"MAR14";"MAR15";"MAR16";"MAR17";"MAR18";"MAR19";"MAR2";"MAR20";"MAR3";"MAR4";"MAR5";"MAR6";"MAR7";"MAR8";"MAR9";"MAY1";"MAY10";"MAY11";"MAY12";"MAY13";"MAY14";"MAY15";"MAY16";"MAY17";"MAY18";"MAY19";"MAY2";"MAY20";"MAY3";"MAY4";"MAY5";"MAY6";"MAY7";"MAY8";"MAY9";"NOV1";"NOV10";"NOV11";"NOV12";"NOV13";"NOV14";"NOV15";"NOV16";"NOV17";"NOV18";"NOV19";"NOV2";"NOV20";"NOV3";"NOV4";"NOV5";"NOV6";"NOV7";"NOV8";"NOV9";"OCT1";"OCT10";"OCT11";"OCT12";"OCT13";"OCT14";"OCT15";"OCT16";"OCT17";"OCT18";"OCT19";"OCT2";"OCT20";"OCT3";"OCT4";"OCT5";"OCT6";"OCT7";"OCT8";"OCT9";"SEP1";"SEP10";"SEP11";"SEP12";"SEP13";"SEP14";"SEP15";"SEP16";"SEP17";"SEP18";"SEP19";"SEP2";"SEP20";"SEP3";"SEP4";"SEP5";"SEP6";"SEP7";"SEP8";"SEP9";"total";"kingdom";"phylum";"class";"order";"family";"genus"
"Rubus";433313;393106;656906;87279;426296;637232;150216;176364;555493;502724;385258;21146;514241;28706;332256;56914;129860;511620;334777;353744;21042;103123;93561;272665;2091;30032;29396;544888;464333;568889;324994;3331;0;7776;31457;201700;80944;3283;367969;662893;25471;599586;516054;709678;642588;348301;395630;92820;19192;680782;604606;362900;91180;205005;482602;15341;54511;572303;457620;749865;73072;747594;749263;750013;747248;619017;122079;36444;452593;129077;371382;651184;46167;745877;582751;28118;663143;694974;146125;722270;196589;749012;747141;594680;744072;749727;2088;427895;137738;709837;748435;25803;307424;627743;514882;3317;586682;29189;49208;88719;39143;34281;132388;192790;15709;30853;486166;84200;105183;32512;50088;68255;196968;29824;7114;394330;497721;190254;563315;171;32823;60473;353097;25673;16953;6623;32958;4231;49500;211525;3413;22034;2162;18201;9085;0;75838;29612;39552;41717;41268;707383;217861;744887;742584;359962;23602;22967;197334;25051;610754;156720;670483;212023;146788;3332;8441;47750;22956;223571;1438;650;2175;256865;3661;307573;447238;151512;4039;301646;4063;267533;4159;440054;13664;32618;9602;16476;50107;384430;0;583181;545367;143278;724894;275050;432560;40029;441772;629355;691839;259926;66241;90625;735149;8847;365112;624059;136345;235686;13799;39616;267581;111142;80287;342681;25029;102787;87882;100243;41658;189824;246730;211077;40952;314881;15067;13477;121;526269;338054;36917;63047;83535;177528;93047;327;36843;4143;535249;439284;3042;69985;75880;349432;127579;20529;795;329355;59903369;"Viridiplantae";"Streptophyta";"Magnoliopsida";"Rosales";"Rosaceae";"Rubus"
"Quercus";2124;13179;0;0;91620;45706;20684;16683;2441;1727;5305;0;6579;4255;47899;0;5776;1238;2590;1651;22676;0;11262;6044;858;1981;1717;41632;75202;4409;69556;0;0;82;0;0;1906;0;92164;44426;114396;59941;8177;17444;18698;17813;262065;187728;182527;57213;79629;265178;467034;412182;5330;202670;586350;36977;46529;0;632386;2941;752;522;989;26139;586575;603936;235255;339176;297145;74225;74601;0;48139;589644;45277;25290;488529;14078;368507;493;689;36689;203;685;560800;296683;480277;9509;819;711573;158807;39374;103083;512731;82935;605585;596766;0;19904;37457;59671;130162;2511;1016;117182;257158;81107;199066;2508;425372;11253;2446;173;11698;46129;485634;11850;0;2141;0;1383;34463;32702;2783;0;617179;4196;59624;2801;14480;3457;18724;6942;0;81953;15193;3393;11638;96606;43152;0;3008;0;0;54931;3430;149883;11080;96601;438964;37109;152591;41734;20210;600402;45147;3533;12697;641147;3545;107242;397482;9147;9929;46267;86084;423096;124599;218042;3479;734;1420;9536;75853;3801;211658;1882;172789;44459;97118;4736;165560;5845;14557;158028;388392;216484;65483;20683;195588;644550;376117;2173;140642;235305;21335;559623;88123;433445;262294;35804;76949;8690;125109;641192;510843;237119;394188;16108;459656;35003;124359;5840;292763;703241;462890;276369;54285;366043;183796;0;293911;13854;2741;720933;167512;435883;178078;2121;471335;0;0;1388;138954;573996;670506;320479;32639697;"Viridiplantae";"Streptophyta";"Magnoliopsida";"Fagales";"Fagaceae";"Quercus"
"Plantago";22369;14983;0;149771;0;0;40866;72407;34555;10936;20261;8035;4034;7565;28398;106742;7220;6505;19458;2732;55271;32498;116284;102134;327901;388592;288928;0;26727;5604;4195;125145;0;137659;135521;48753;10961;11125;36714;0;1942;4659;4440;3366;10921;4442;0;11846;18354;2335;3674;21928;11733;36761;3714;0;11208;3910;42691;0;246;0;0;0;0;25295;0;0;0;0;0;0;14398;0;26862;0;6787;0;0;0;491;0;0;0;0;0;84;1302;0;6200;0;480;86435;0;18762;59;2505;559;5651;107815;2021;43358;94804;53010;204082;279400;33346;610;1317;12547;454633;29248;320569;131549;73928;24186;2275;16215;2433;7181;9444;395711;266078;178678;220077;225368;12990;16494;21367;0;25850;9228;33396;8724;4368;70906;2969;7045;24458;0;2807;0;0;0;0;193684;5797;11962;0;4205;0;557;4301;0;37492;46206;2815;3278;11296;10738;3174;5159;2028;0;1489;15597;0;1786;3363;6009;11832;0;4634;11130;4855;6242;9984;870;7009;42805;0;3901;2057;23121;1509;0;0;21456;0;0;10110;0;25625;12206;2164;14381;2559;3032;1689;152581;452;157790;28489;132617;241685;45829;1708;2072;0;117;224773;4704;120760;31930;84149;6364;0;1877;0;69467;831;379739;382205;66987;266138;215100;281;0;7147;928;245364;5162;191983;659564;108378;4802;1142;5532;0;10678128;"Viridiplantae";"Streptophyta";"Magnoliopsida";"Lamiales";"Plantaginaceae";"Plantago"
"Rumex";22851;45614;0;0;0;0;29489;181765;84741;65378;32535;26111;11006;25303;25589;6402;79451;17973;203655;15059;0;2827;9211;1352;757;1117;1518;0;32182;0;10229;0;0;0;6890;0;30808;0;10297;3327;4075;3991;0;0;829;436;9243;0;0;0;0;0;0;0;370;1015;15278;2259;1081;0;345;0;0;0;0;0;564;54738;274;450;0;742;0;0;3595;0;0;418;2178;0;1340;0;0;0;0;0;142;0;0;98;0;0;0;0;0;143;818;751;1829;90781;3770;2081;50130;32633;37637;16088;28735;71554;152213;20091;111545;132950;42199;52053;41069;33577;874;8401;2748;211102;156598;148974;45014;42815;173783;240378;154489;16698;285565;182576;557281;116478;48979;370877;5258;127041;408843;432683;76915;4326;379157;0;0;0;0;0;10287;2417;3326;4370;0;40262;0;0;0;51533;4196;31499;37268;31101;33239;284473;332519;53693;213914;25685;0;51576;126392;34044;99192;13095;49703;50911;15019;528394;382406;61477;504955;0;0;1327;0;0;0;0;0;0;516;434;893;2104;0;1771;426;0;0;479;0;8859;19366;0;0;0;0;0;0;1472;0;1201;10981;0;0;2601;0;2810;287;3039;0;1645;446;2910;0;0;6925;16934;56;1122;3758;0;0;0;7885;0;166056;415;1269;288;2496;9555115;"Viridiplantae";"Streptophyta";"Magnoliopsida";"Caryophyllales";"Polygonaceae";"Rumex"
"Potentilla";2301;5600;0;0;0;0;19916;46061;0;0;13898;54441;854;39181;4649;3938;0;1369;0;0;113260;395879;2803;4733;218155;174962;294873;0;13462;0;95380;367885;0;403389;0;429506;353421;0;8431;0;0;0;0;0;0;0;7420;0;0;0;0;0;0;5609;0;0;0;0;0;160;977;0;92;0;126;10229;0;0;0;0;0;0;0;1590;5280;16334;0;0;0;0;1079;0;0;0;0;0;0;958;0;0;0;1029;98346;9260;9303;0;0;0;11439;16520;7887;58157;1006;9627;130310;10415;26619;19588;126307;24845;11658;9495;0;2238;89435;10373;157046;6005;136838;184588;76617;28740;0;0;5493;9701;200829;5999;106615;0;4773;53168;69097;32004;466;258721;33291;115351;164041;0;0;0;0;0;0;0;1595;332;0;0;0;0;0;0;0;2467;0;0;2325;13711;7380;0;19168;0;5930;46383;0;2556;13133;101113;16100;0;84716;1894;15539;698;23593;4039;20547;0;138847;0;0;0;0;0;8364;138342;0;0;0;0;0;0;0;54943;0;1739;1944;0;31940;0;0;0;0;1914;4628;3662;7788;1216;0;9161;161480;0;238699;0;7279;4650;7936;10644;154;0;0;228685;0;0;1610;0;36925;0;751;0;0;0;14962;21716;0;9414;4446;6988499;"Viridiplantae";"Streptophyta";"Magnoliopsida";"Rosales";"Rosaceae";"Potentilla"
"Prunus";0;584;0;0;0;0;0;0;349;0;0;0;2166;0;0;6997;66431;444;2639;0;0;0;91047;629;4271;0;0;0;0;0;3084;0;0;513;8546;0;0;0;1329;8980;13800;30887;279;9492;1210;3313;0;196110;237794;1786;54620;2070;107433;0;0;4829;14253;2619;4075;0;0;0;0;0;0;0;137;2207;0;0;0;169;0;0;0;0;0;13061;2515;0;1904;0;0;0;0;0;1099;479;0;0;0;0;0;0;1241;1091;10100;1212;31632;1341;0;291636;255270;241372;5568;4181;0;120;0;0;14799;631;16778;381189;0;1810;0;0;0;0;0;22465;57247;99896;92099;78502;0;0;0;0;8408;0;3951;72608;194460;0;0;0;0;0;32138;0;0;0;0;0;30655;1405;2333;141;0;5048;15210;0;0;0;559;61699;4407;6452;0;301630;0;0;203;10849;0;0;0;0;0;0;21936;136986;479405;3583;0;0;0;58617;0;13052;0;359203;0;2188;0;0;73311;27760;0;155663;3019;175527;0;0;0;3235;2806;0;17711;223012;19891;300843;244308;9805;0;0;0;1417;7039;0;0;46861;0;6972;0;4584;0;0;8397;3613;0;5993;64967;107208;531;0;0;0;0;3145;6800;0;0;0;0;304;654;5866832;"Viridiplantae";"Streptophyta";"Magnoliopsida";"Rosales";"Rosaceae";"Prunus"
"Trifolium";1458;3039;0;0;0;0;0;1486;126;0;5975;257;0;0;1009;0;0;0;0;0;5073;26208;130861;2578;4986;3670;4479;0;4216;0;3762;850;0;1699;246373;3373;41054;0;965;0;128;507;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1697;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;422491;23537;48748;83395;30978;72845;4949;0;3376;8452;56838;34448;39371;23526;55712;26298;1796;9939;0;1044;258637;44419;17245;11482;260174;133454;120025;111641;2843;32364;132081;64988;283441;123756;130407;522492;121389;19397;7171;25701;0;0;0;0;0;0;0;0;160;0;21883;0;49;0;0;0;0;0;0;0;9971;40606;7828;181218;0;46126;4927;0;61763;83052;17103;29296;294;22280;3994;114578;14743;275490;433611;44620;0;0;0;277;0;0;0;0;0;0;0;0;0;0;0;394;0;0;0;311;0;2021;0;0;0;0;14626;0;0;0;0;14972;4592;6802;0;17336;3952;0;8891;0;2054;0;19596;232674;0;0;11184;0;0;0;0;0;204111;8844;0;1319;504;0;0;207;5834938;"Viridiplantae";"Streptophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Trifolium"
"Calluna";6785;65000;0;0;0;0;0;0;0;0;20019;0;1446;0;39081;0;1709;0;2006;11185;13059;0;86023;155416;7209;6359;4905;0;0;0;0;8313;0;7855;12353;0;15131;0;0;5363;553858;30894;889;6618;47356;52875;13041;31570;132585;676;3511;10434;19039;30015;232099;486634;0;32525;140807;79;2043;0;0;0;162;42729;27943;40546;14406;7327;0;1243;70696;0;0;0;2681;446;2349;0;166;461;1576;107848;2427;0;33447;0;113931;0;942;3002;0;0;25248;6023;24520;23332;0;0;0;14978;12624;4873;0;0;0;0;0;0;274;0;6731;0;2703;0;0;0;0;0;0;0;0;50173;0;4453;0;3421;0;0;0;0;0;0;0;0;0;0;0;3889;147809;0;0;0;0;0;0;77458;145;18495;0;15883;0;24697;0;558103;7433;159903;128761;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48692;0;37126;284;0;2038;260059;0;0;1359;7341;16284;12196;0;44315;4489;0;2054;23611;16017;40211;4344;0;0;59697;0;7865;405;1166;0;4899;379203;0;0;136907;0;4340;1043;152692;0;0;1316;11914;0;10331;110653;73641;3214;0;0;0;0;0;5872;0;2714;0;2019;284;0;5583617;"Viridiplantae";"Streptophyta";"Magnoliopsida";"Ericales";"Ericaceae";"Calluna"
"Fagus";0;157091;0;0;0;0;0;0;0;2126;132206;0;700;0;111583;0;3015;1270;0;1810;4213;0;0;0;0;0;0;0;0;3333;5172;0;0;0;11028;0;56380;23285;3060;0;416;0;0;0;0;0;0;0;0;0;845;0;2138;0;0;0;0;579;0;0;1795;0;133;0;0;0;1913;342;2575;209897;0;1459;15669;0;0;0;0;0;7111;0;109580;0;0;1116;0;0;115045;487;2362;329;0;153;0;0;0;103656;1446;72558;1117;0;636436;0;0;0;0;0;20881;29088;6451;79264;0;487;0;0;0;844;6114;246;0;0;392863;0;0;0;1903;283;0;0;0;0;0;0;0;0;0;0;9652;0;3059;0;646;0;46700;0;0;10188;1995;227;769;0;0;1397;0;0;0;0;497;338;0;0;1107;111765;18620;0;432846;523;49037;102755;31637;131840;266945;432510;1323;0;6197;2562;1555;0;86289;9321;0;0;0;0;172;0;0;0;78;0;0;0;0;3527;0;0;2785;667;9070;0;874;0;0;0;0;0;24715;87074;133364;149718;0;0;0;0;0;0;0;3907;430238;0;446;0;0;2518;0;0;10541;441;221;0;0;0;0;0;0;739;2149;6381;0;4975778;"Viridiplantae";"Streptophyta";"Magnoliopsida";"Fagales";"Fagaceae";"Fagus"
"Rosa";91325;0;0;0;0;0;17979;0;704;3485;0;0;96256;0;0;7735;349521;9549;3594;0;0;0;6092;169563;0;0;0;0;12976;17453;0;0;0;0;31782;0;0;0;612;0;3234;0;0;0;7943;0;0;39226;13735;1173;0;13723;5269;0;0;342;3306;50351;24518;0;0;0;0;0;0;0;0;0;0;0;0;436;0;0;0;0;0;534;0;0;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;814;963;0;18641;10271;9739;3857;329492;0;280;0;9729;11204;1642;15744;3225;497;0;0;1074;0;0;0;11478;5897;11628;16887;11264;1495;0;8982;0;0;0;0;0;507;0;0;0;0;0;5250;0;0;0;0;0;61034;605060;303823;643520;0;1280;0;0;0;0;108281;0;1858;8522;0;0;0;0;0;0;0;0;0;0;0;0;430;79023;1718;3467;0;0;1435;11854;0;1739;0;0;103;0;0;0;8098;2410;0;32828;0;1523;698;0;2191;2228;0;111657;5126;25927;381594;0;105624;170794;1824;0;30711;4744;0;0;4517;128547;65732;34003;279;5460;374;42456;122;79255;4889;2205;33774;32279;423;0;0;0;19987;6839;11829;0;5865;5577;1948;0;10696;4691216;"Viridiplantae";"Streptophyta";"Magnoliopsida";"Rosales";"Rosaceae";"Rosa"
