kingdom;phylum;class;order;family;genus;kingdom;phylum;class;order;family;genus;eg;ee;mg;me;lg;le;total
seq10688;seq10688;seq10688;seq10688;seq10688;seq10688;seq10688;seq10688;seq10688;seq10688;seq10688;seq10688;106;116;0;0;0;0;43452
Viridiplantae;Streptophyta;Bryopsida;Hypnales;Brachytheciaceae;Brachythecium;Viridiplantae;Streptophyta;Bryopsida;Hypnales;Brachytheciaceae;Brachythecium;0;0;0;885;0;0;885
Viridiplantae;Streptophyta;Bryopsida;Hypnales;Brachytheciaceae;Pseudoscleropodium;Viridiplantae;Streptophyta;Bryopsida;Hypnales;Brachytheciaceae;Pseudoscleropodium;0;706;0;2447;0;0;3153
Viridiplantae;Streptophyta;Bryopsida;Hypnales;Hypnaceae;Hypnum;Viridiplantae;Streptophyta;Bryopsida;Hypnales;Hypnaceae;Hypnum;1194;0;0;15706;0;0;16900
Viridiplantae;Streptophyta;Magnoliopsida;Alismatales;Juncaginaceae;Triglochin;Viridiplantae;Streptophyta;Magnoliopsida;Alismatales;Juncaginaceae;Triglochin;0;0;531;1735;0;0;2266
Viridiplantae;Streptophyta;Magnoliopsida;Apiales;Apiaceae;Anthriscus;Viridiplantae;Streptophyta;Magnoliopsida;Apiales;Apiaceae;Anthriscus;0;7644;1457;37943;4126;0;51170
Viridiplantae;Streptophyta;Magnoliopsida;Apiales;Apiaceae;Berula;Viridiplantae;Streptophyta;Magnoliopsida;Apiales;Apiaceae;Berula;0;0;0;0;0;2745;2745
Viridiplantae;Streptophyta;Magnoliopsida;Apiales;Apiaceae;Chaerophyllum;Viridiplantae;Streptophyta;Magnoliopsida;Apiales;Apiaceae;Chaerophyllum;0;1630;0;2027;0;0;3657
Viridiplantae;Streptophyta;Magnoliopsida;Apiales;Apiaceae;Pimpinella;Viridiplantae;Streptophyta;Magnoliopsida;Apiales;Apiaceae;Pimpinella;0;2401;11298;0;18834;7514;40047
Viridiplantae;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Artemisia;Viridiplantae;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Artemisia;0;229;0;0;0;0;229
Viridiplantae;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Asteraceae genus 1;Viridiplantae;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Asteraceae genus 1;0;5334;36009;18352;91978;61952;213625
Viridiplantae;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Asteraceae genus 2;Viridiplantae;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Asteraceae genus 2;0;65;0;0;0;0;65
Viridiplantae;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Asteraceae genus 4;Viridiplantae;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Asteraceae genus 4;0;24296;0;23171;0;14070;61537
Viridiplantae;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Bellis;Viridiplantae;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Bellis;0;531;0;1827;0;1063;3421
