;total;kingdom;phylum;class;order;family;genus;eg;ee;mg;me;lg;le;eg_proc;ee_proc;mg_proc;me_proc;lg_proc;le_proc
unidentified reads;43452;unidentified;unidentified;unidentified;unidentified;unidentified;unidentified;616;14061;8553;15088;0;5134;435.0173713;1841.867353;1364.982629;921.3197308;0;1136.812916
Brachythecium;885;Viridiplantae;Streptophyta;Bryopsida;Hypnales;Brachytheciaceae;Brachythecium;0;0;0;885;0;0;NA;0;NA;100;NA;0
Pseudoscleropodium;3153;Viridiplantae;Streptophyta;Bryopsida;Hypnales;Brachytheciaceae;Pseudoscleropodium;0;706;0;2447;0;0;NA;22.3913733;NA;77.6086267;NA;0
Hypnum;16900;Viridiplantae;Streptophyta;Bryopsida;Hypnales;Hypnaceae;Hypnum;1194;0;0;15706;0;0;100;0;0;100;0;0
Triglochin;2266;Viridiplantae;Streptophyta;Magnoliopsida;Alismatales;Juncaginaceae;Triglochin;0;0;531;1735;0;0;0;0;100;100;0;0
Anthriscus;51170;Viridiplantae;Streptophyta;Magnoliopsida;Apiales;Apiaceae;Anthriscus;0;7644;1457;37943;4126;0;0;16.76793823;26.09708042;83.23206177;73.90291958;0
Berula;2745;Viridiplantae;Streptophyta;Magnoliopsida;Apiales;Apiaceae;Berula;0;0;0;0;0;2745;NA;0;NA;0;NA;100
Chaerophyllum;3657;Viridiplantae;Streptophyta;Magnoliopsida;Apiales;Apiaceae;Chaerophyllum;0;1630;0;2027;0;0;NA;44.5720536;NA;55.4279464;NA;0
Pimpinella;40047;Viridiplantae;Streptophyta;Magnoliopsida;Apiales;Apiaceae;Pimpinella;0;2401;11298;0;18834;7514;0;24.21583459;37.4950219;0;62.5049781;75.78416541
Artemisia;229;Viridiplantae;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Artemisia;0;229;0;0;0;0;NA;100;NA;0;NA;0
Asteraceae unidentified;275227;Viridiplantae;Streptophyta;Magnoliopsida;Asterales;Asteraceae;unidentified;0;29695;36009;41523;91978;76022;0;145.7104811;28.1348887;59.08350841;71.8651113;95.20601049
Bellis;3421;Viridiplantae;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Bellis;0;531;0;1827;0;1063;NA;15.52177726;NA;53.40543701;NA;31.07278574
Cirsium;69145;Viridiplantae;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Cirsium;38706;8497;851;941;10901;9249;76.70934242;45.47011291;1.686551191;5.035586236;21.60410639;49.49430085
Crepis;138825;Viridiplantae;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Crepis;0;6028;1161;2904;127151;1581;0;57.33853324;0.904825737;27.62294302;99.09517426;15.03852373
Hieracium;17502;Viridiplantae;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Hieracium;0;0;0;12911;975;3616;0;0;0;78.12065106;100;21.87934894
Hypochaeris;1667403;Viridiplantae;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Hypochaeris;112336;209139;67960;699958;265736;312274;25.1856369;17.12329833;15.23657495;57.30920416;59.57778814;25.56749751
Scorzoneroides;121955;Viridiplantae;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Scorzoneroides;0;7805;5937;28423;47351;32439;0;11.36644968;11.14134514;41.39251751;88.85865486;47.24103281
Solidago;6877;Viridiplantae;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Solidago;0;1477;0;1144;0;4256;NA;21.4773884;NA;16.63516068;NA;61.88745092
Sonchus;4612;Viridiplantae;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Sonchus;0;0;4612;0;0;0;0;NA;100;NA;0;NA
Taraxacum;41723;Viridiplantae;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Taraxacum;1261;21420;0;13412;0;5630;100;52.93855964;0;33.14715041;0;13.91428995
Campanula;10516;Viridiplantae;Streptophyta;Magnoliopsida;Asterales;Campanulaceae;Campanula;2258;0;3803;431;1632;2392;29.35135838;0;49.43455089;15.26744598;21.21409073;84.73255402
Myosotis;767;Viridiplantae;Streptophyta;Magnoliopsida;Boraginales;Boraginaceae;Myosotis;0;767;0;0;0;0;NA;100;NA;0;NA;0
Alliaria;6566;Viridiplantae;Streptophyta;Magnoliopsida;Brassicales;Brassicaceae;Alliaria;352;6214;0;0;0;0;100;100;0;0;0;0
Capsella;3155;Viridiplantae;Streptophyta;Magnoliopsida;Brassicales;Brassicaceae;Capsella;0;0;0;3155;0;0;NA;0;NA;100;NA;0
Cardamine;153245;Viridiplantae;Streptophyta;Magnoliopsida;Brassicales;Brassicaceae;Cardamine;116357;23749;6012;7127;0;0;95.08699099;76.91734681;4.913009014;23.08265319;0;0
Draba;45789;Viridiplantae;Streptophyta;Magnoliopsida;Brassicales;Brassicaceae;Draba;0;45789;0;0;0;0;NA;100;NA;0;NA;0
Nasturtium;457;Viridiplantae;Streptophyta;Magnoliopsida;Brassicales;Brassicaceae;Nasturtium;0;0;0;457;0;0;NA;0;NA;100;NA;0
Sisymbrium;2042;Viridiplantae;Streptophyta;Magnoliopsida;Brassicales;Brassicaceae;Sisymbrium;0;0;0;0;0;2042;NA;0;NA;0;NA;100
Teesdalia;1341;Viridiplantae;Streptophyta;Magnoliopsida;Brassicales;Brassicaceae;Teesdalia;0;0;0;1341;0;0;NA;0;NA;100;NA;0
Turritis;224;Viridiplantae;Streptophyta;Magnoliopsida;Brassicales;Brassicaceae;Turritis;224;0;0;0;0;0;100;NA;0;NA;0;NA
Caryophyllaceae unidentified;33037;Viridiplantae;Streptophyta;Magnoliopsida;Caryophyllales;Caryophyllaceae;unidentified;0;26858;4549;0;0;1630;0;94.27829261;100;0;0;5.721707386
Cerastium;390641;Viridiplantae;Streptophyta;Magnoliopsida;Caryophyllales;Caryophyllaceae;Cerastium;0;21610;95436;250213;9568;13814;0;7.56554648;90.88796617;87.59824533;9.112033827;4.836208194
Dianthus;1498;Viridiplantae;Streptophyta;Magnoliopsida;Caryophyllales;Caryophyllaceae;Dianthus;0;1300;0;198;0;0;NA;86.7823765;NA;13.2176235;NA;0
Moehringia;9281;Viridiplantae;Streptophyta;Magnoliopsida;Caryophyllales;Caryophyllaceae;Moehringia;0;9155;0;126;0;0;NA;98.64238767;NA;1.357612326;NA;0
Sagina;859;Viridiplantae;Streptophyta;Magnoliopsida;Caryophyllales;Caryophyllaceae;Sagina;0;0;0;859;0;0;NA;0;NA;100;NA;0
Stellaria;204863;Viridiplantae;Streptophyta;Magnoliopsida;Caryophyllales;Caryophyllaceae;Stellaria;179;86262;15075;13336;82506;7505;0.183101473;80.54116131;15.42041735;12.45156532;84.39648118;7.007273372
Persicaria;11000;Viridiplantae;Streptophyta;Magnoliopsida;Caryophyllales;Polygonaceae;Persicaria;0;0;0;11000;0;0;NA;0;NA;100;NA;0
Polygonum;155533;Viridiplantae;Streptophyta;Magnoliopsida;Caryophyllales;Polygonaceae;Polygonum;442;180;16509;129984;6243;2175;1.905665258;0.136014327;71.17789083;98.22047922;26.91644391;1.643506449
Rumex;9555115;Viridiplantae;Streptophyta;Magnoliopsida;Caryophyllales;Polygonaceae;Rumex;118077;1391911;2302839;5429613;238166;74509;4.440517442;20.18422766;86.60278246;78.73531058;8.956700094;1.080461767
Sambucus;23760;Viridiplantae;Streptophyta;Magnoliopsida;Dipsacales;Adoxaceae;Sambucus;0;0;0;0;23760;0;0;#DIV/0!;0;#DIV/0!;100;NA
Knautia;41795;Viridiplantae;Streptophyta;Magnoliopsida;Dipsacales;Caprifoliaceae;Knautia;4901;1752;8165;0;16485;10492;16.58488714;14.30904933;27.63019864;0;55.78491422;85.69095067
Lonicera;5254;Viridiplantae;Streptophyta;Magnoliopsida;Dipsacales;Caprifoliaceae;Lonicera;5254;0;0;0;0;0;100;NA;0;NA;0;NA
Calluna;5583617;Viridiplantae;Streptophyta;Magnoliopsida;Ericales;Ericaceae;Calluna;287539;1557841;398301;18552;1680954;1640430;12.14888157;48.42793651;16.82871429;0.576718085;71.02240415;50.99534541
Empetrum;324;Viridiplantae;Streptophyta;Magnoliopsida;Ericales;Ericaceae;Empetrum;0;0;0;0;324;0;0;NA;0;NA;100;NA
Ericaceae unidentified;9791;Viridiplantae;Streptophyta;Magnoliopsida;Ericales;Ericaceae;unidentified;0;0;1425;8366;0;0;0;0;100;100;0;0
Vaccinium;1333432;Viridiplantae;Streptophyta;Magnoliopsida;Ericales;Ericaceae;Vaccinium;463681;5775;232088;631888;0;0;66.6429519;0.90565079;33.3570481;99.09434921;0;0
Hottonia;1204;Viridiplantae;Streptophyta;Magnoliopsida;Ericales;Primulaceae;Hottonia;0;1098;0;0;0;106;NA;91.19601329;NA;0;NA;8.803986711
Lysimachia;8571;Viridiplantae;Streptophyta;Magnoliopsida;Ericales;Primulaceae;Lysimachia;3563;0;2894;2114;0;0;55.18042435;0;44.81957565;100;0;0
Anthyllis;4072;Viridiplantae;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Anthyllis;0;0;0;0;0;4072;NA;0;NA;0;NA;100
Cytisus;922929;Viridiplantae;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Cytisus;96396;380670;5551;212558;42554;185200;66.70957294;48.90240331;3.841495907;27.30605785;29.44893115;23.79153884
Genista;446;Viridiplantae;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Genista;0;0;0;0;0;446;NA;0;NA;0;NA;100
Lotus;2896317;Viridiplantae;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Lotus;378411;14190;1801818;177468;45329;479101;17.00297184;2.115513918;80.96028052;26.45778886;2.036747638;71.42669722
Medicago;69469;Viridiplantae;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Medicago;0;0;1220;0;67763;486;0;0;1.768551672;0;98.23144833;100
Ononis;15490;Viridiplantae;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Ononis;0;0;5949;577;5822;3142;0;0;50.53946139;15.51492337;49.46053861;84.48507663
Ornithopus;498;Viridiplantae;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Ornithopus;0;335;0;163;0;0;NA;67.26907631;NA;32.73092369;NA;0
Trifolium;5834938;Viridiplantae;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Trifolium;1715;33727;2743732;2498765;330585;226414;0.055753646;1.222477315;89.19712149;90.57086396;10.74712487;8.206658726
Vicia;33075;Viridiplantae;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Vicia;0;975;27634;4466;0;0;0;17.91950009;100;82.08049991;0;0
Alnus;422308;Viridiplantae;Streptophyta;Magnoliopsida;Fagales;Betulaceae;Alnus;76451;103389;347;35970;30326;175825;71.36682723;32.80274379;0.323923677;11.41238134;28.30924909;55.78487487
Betula;4303170;Viridiplantae;Streptophyta;Magnoliopsida;Fagales;Betulaceae;Betula;2481946;1169400;46278;4667;172913;427966;91.88523203;72.99475104;1.713278519;0.291317345;6.401489447;26.71393161
Corylus;68731;Viridiplantae;Streptophyta;Magnoliopsida;Fagales;Betulaceae;Corylus;0;10906;6208;27391;865;23361;0;17.68789127;87.77039446;44.42408122;12.22960554;37.88802751
