"","V1","V2"
"1","Alternaria infectoria","Ascobolaceae sp."
"2","Ascobolaceae sp.","Ascobolus equinus"
"3","Ascobolus equinus","Ascobolus immersus"
"4","Ascobolus immersus","Ascobolus lineolatus"
"5","Ascomycota sp.","Ascomycota sp."
"6","cf. Phialophora LCP-01-4479","Boubovia gelatinosa"
"7","Dothideomycetes sp.","cf. Phialophora LCP-01-4479"
"8","Mucor sp. BESC196c","Cheilymenia stercorea"
"9","Panaeolus papilionaceus","Dothideomycetes sp."
"10","Panaeolus retirugis","Lactarius quietus"
"11","Pezizales sp.","Panaeolus desertorum"
"12","Podospora conica","Pezizales sp."
"13","Podospora sp. SC4L3-1","Podospora sp. SC4L3-1"
"14","Saccharomyces sp.","Pseudaleuria sp. MF-3"
"15","Stemphylium globuliferum","Sporormiella intermedia"
