"mean"	"StErr"
"RGE"	7.61538461538461	0.954155189152699
"RGM"	22.3636363636364	0.980702227745064
"RGL"	12.575	0.66783951319506
"REE"	24.7073170731707	1.11652984976374
"REM"	21.6521739130435	1.24420099938238
"REL"	21.45	1.06635612466726
"TGE"	0.132148605789409	0.034304732075326
"TGM"	0.161505883378947	0.0326170607612278
"TGL"	0.240905487418974	0.0392060457306293
"TEE"	0.394704525406023	0.0565957429667829
"TEM"	0.245698329394597	0.0398484641616904
"TEL"	0.501678902382967	0.0450700452779742
"SGE"	0.701437009121528	0.0543928966402359
"SGM"	0.167522924556241	0.0350622427003594
"SGL"	0.520110621090289	0.0498664556987744
"SEE"	0.456369220850103	0.0487380358634331
"SEM"	0.23436070675382	0.0385877015226447
"SEL"	0.333252946231688	0.0490538927407731
"FGE"	0.139396666275493	0.0422041101958677
"FGM"	0.643073920401427	0.0442943231218688
"FGL"	0.205557469005443	0.0380910353275556
"FEE"	0.119937663978557	0.0274071057710112
"FEM"	0.387221955584726	0.0438671803998597
"FEL"	0.0727249895074847	0.017849052650182
"GGE"	0.0116144842320171	0.00519776569219124
"GGM"	0.00247007639600923	0.00084517355386929
"GGL"	0.0180841666278055	0.0134874322259525
"GEE"	0.00985768363282972	0.00177088651329065
"GEM"	0.0961827229909331	0.0270648927540427
"GEL"	0.0716448933094393	0.0231262070020745
"RG"	13.7321428571429	0.75208655942407
"RE"	22.5748031496063	0.6753761500171
"TG"	0.179640261375457	0.0210608660252538
"TE"	0.374426494402497	0.0286509718296099
"SG"	0.479363613479527	0.0344576223014628
"SE"	0.337179908777933	0.0271564902690629
"FG"	0.311430429626866	0.0313355651665239
"FE"	0.201879163467068	0.0226852496512258
"GG"	0.0112307506359749	0.00514424579707081
"GE"	0.0605855592039883	0.0125601779374382
