"";"order";"family";"genus"
"1";"Sapindales";"Sapindaceae";"Acer"
"2";"Rosales";"Rosaceae";"Agrimonia"
"3";"Rosales";"Rosaceae";"Agrimonia"
"4";"Rosales";"Rosaceae";"Agrimonia"
"5";"Rosales";"Rosaceae";"Agrimonia"
"6";"Rosales";"Rosaceae";"Agrimonia"
"7";"Rosales";"Rosaceae";"Agrimonia"
"8";"Rosales";"Rosaceae";"Agrimonia"
"9";"Rosales";"Rosaceae";"Agrimonia"
"10";"Rosales";"Rosaceae";"Agrimonia"
"11";"Rosales";"Rosaceae";"Agrimonia"
"12";"Rosales";"Rosaceae";"Agrimonia"
"13";"Poales";"Poaceae";"Agrostis"
"14";"Poales";"Poaceae";"Agrostis"
"15";"Poales";"Poaceae";"Agrostis"
"16";"Poales";"Poaceae";"Agrostis"
"17";"Poales";"Poaceae";"Agrostis"
"18";"Poales";"Poaceae";"Agrostis"
"19";"Poales";"Poaceae";"Agrostis"
"20";"Poales";"Poaceae";"Agrostis"
"21";"Poales";"Poaceae";"Agrostis"
"22";"Poales";"Poaceae";"Agrostis"
"23";"Poales";"Poaceae";"Agrostis"
"24";"Poales";"Poaceae";"Agrostis"
"25";"Poales";"Poaceae";"Agrostis"
"26";"Poales";"Poaceae";"Agrostis"
"27";"Poales";"Poaceae";"Agrostis"
"28";"Poales";"Poaceae";"Agrostis"
"29";"Poales";"Poaceae";"Agrostis"
"30";"Poales";"Poaceae";"Agrostis"
"31";"Poales";"Poaceae";"Agrostis"
"32";"Poales";"Poaceae";"Agrostis"
"33";"Poales";"Poaceae";"Agrostis"
"34";"Poales";"Poaceae";"Agrostis"
"35";"Poales";"Poaceae";"Agrostis"
"36";"Poales";"Poaceae";"Agrostis"
"37";"Poales";"Poaceae";"Agrostis"
"38";"Poales";"Poaceae";"Agrostis"
"39";"Poales";"Poaceae";"Agrostis"
"40";"Poales";"Poaceae";"Agrostis"
"41";"Poales";"Poaceae";"Agrostis"
"42";"Poales";"Poaceae";"Agrostis"
"43";"Poales";"Poaceae";"Agrostis"
"44";"Poales";"Poaceae";"Agrostis"
"45";"Poales";"Poaceae";"Agrostis"
"46";"Poales";"Poaceae";"Agrostis"
"47";"Poales";"Poaceae";"Agrostis"
"48";"Poales";"Poaceae";"Agrostis"
"49";"Poales";"Poaceae";"Agrostis"
"50";"Poales";"Poaceae";"Agrostis"
"51";"Poales";"Poaceae";"Agrostis"
"52";"Poales";"Poaceae";"Agrostis"
"53";"Poales";"Poaceae";"Agrostis"
"54";"Poales";"Poaceae";"Agrostis"
"55";"Poales";"Poaceae";"Agrostis"
"56";"Poales";"Poaceae";"Agrostis"
"57";"Poales";"Poaceae";"Agrostis"
"58";"Poales";"Poaceae";"Agrostis"
"59";"Poales";"Poaceae";"Agrostis"
"60";"Poales";"Poaceae";"Agrostis"
"61";"Poales";"Poaceae";"Agrostis"
"62";"Poales";"Poaceae";"Agrostis"
"63";"Poales";"Poaceae";"Agrostis"
"64";"Poales";"Poaceae";"Agrostis"
"65";"Poales";"Poaceae";"Agrostis"
"66";"Poales";"Poaceae";"Agrostis"
"67";"Poales";"Poaceae";"Agrostis"
"68";"Poales";"Poaceae";"Agrostis"
"69";"Poales";"Poaceae";"Agrostis"
"70";"Poales";"Poaceae";"Agrostis"
"71";"Poales";"Poaceae";"Agrostis"
"72";"Poales";"Poaceae";"Agrostis"
"73";"Poales";"Poaceae";"Agrostis"
"74";"Poales";"Poaceae";"Agrostis"
"75";"Poales";"Poaceae";"Agrostis"
"76";"Poales";"Poaceae";"Agrostis"
"77";"Poales";"Poaceae";"Agrostis"
"78";"Poales";"Poaceae";"Agrostis"
"79";"Poales";"Poaceae";"Agrostis"
"80";"Poales";"Poaceae";"Agrostis"
"81";"Poales";"Poaceae";"Agrostis"
"82";"Poales";"Poaceae";"Agrostis"
"83";"Poales";"Poaceae";"Agrostis"
"84";"Poales";"Poaceae";"Agrostis"
