"";"order";"family";"genus";"species"
"1";"Pleosporales";"Pleosporaceae";"Alternaria";"Alternaria infectoria"
"2";"Pleosporales";"Pleosporaceae";"Alternaria";"Alternaria rosae"
"3";"Thelebolales";"Thelebolaceae";"Antarctomyces";"Antarctomyces psychrotrophicus"
"4";"Trichosporonales";"Trichosporonaceae";"Apiotrichum";"Apiotrichum lignicola"
"5";"Sordariales";"Lasiosphaeriaceae";"Apodus";"Apodus deciduus"
"6";"Eremomycetales";"Eremomycetaceae";"Arthrographis";"Arthrographis kalrae"
"7";"Pezizales";"Ascobolaceae";"NOCLASS";"Ascobolaceae sp."
"8";"Pezizales";"Ascobolaceae";"Ascobolus";"Ascobolus denudatus"
"9";"Pezizales";"Ascobolaceae";"Ascobolus";"Ascobolus equinus"
"10";"Pezizales";"Ascobolaceae";"Ascobolus";"Ascobolus immersus"
"11";"Pezizales";"Ascobolaceae";"Ascobolus";"Ascobolus lineolatus"
"12";"Pezizales";"Ascobolaceae";"Ascobolus";"Ascobolus sp."
"13";"Pezizales";"Ascobolaceae";"Ascobolus";"Ascobolus stercorarius"
"14";"Pleosporales";"Didymellaceae";"Ascochyta";"Ascochyta rabiei"
"15";"NOID";"NOID";"NOCLASS";"Ascomycota sp."
"16";"NOID";"NOID";"NOCLASS";"Ascomycota sp. 2 TC2-053"
"17";"NOID";"NOID";"NOCLASS";"Ascomycota sp. UNEX FECRGA 2012E648"
"18";"Pezizales";"Pyronemataceae";"Boubovia";"Boubovia gelatinosa"
"19";"NOID";"Gloniaceae";"Cenococcum";"Cenococcum geophilum"
"20";"Sordariales";"Lasiosphaeriaceae";"Cercophora";"Cercophora sp. TMS-2011"
"21";"Magnaporthales";"Magnaporthaceae";"NOCLASS";"cf. Phialophora LCP-01-4479"
"22";"Pezizales";"Pyronemataceae";"Cheilymenia";"Cheilymenia stercorea"
"23";"Coniochaetales";"Coniochaetaceae";"Coniochaeta";"Coniochaeta sp. NG_p46"
"24";"Pleosporales";"Coniothyriaceae";"Coniothyrium";"Coniothyrium crepinianum"
"25";"Agaricales";"Psathyrellaceae";"Coprinellus";"Coprinellus radicellus"
"26";"Agaricales";"Psathyrellaceae";"Coprinopsis";"Coprinopsis cinerea"
"27";"Pezizales";"NOID";"Coprotus";"Coprotus sexdecimsporus"
"28";"Pleosporales";"Pleosporaceae";"Curvularia";"Curvularia protuberata"
"29";"Saccharomycetales";"Phaffomycetaceae";"Cyberlindnera";"Cyberlindnera misumaiensis"
