"p.value"	"corrected"	"significant"
"t1"	1.26597444965424e-14	6.8362620281329e-13	"yes"
"t2"	3.39462983237122e-05	0.00108628154635879	"yes"
"t3"	8.40591498857303e-13	4.4551349439437e-11	"yes"
"t4"	0.849946224492335	1	"no"
"t5"	3.14819843209346e-08	1.22779738851645e-06	"yes"
"t6"	4.58183979399666e-15	2.52001188669816e-13	"yes"
"t7"	2.16036980377544e-11	1.08018490188772e-09	"yes"
"t8"	2.32556467354432e-06	7.90691989005068e-05	"yes"
"t9"	7.70181580491601e-10	3.4658171122122e-08	"yes"
"t10"	0.119894368895744	0.959154951165953	"no"
"t11"	1.81042184340172e-06	6.33647645190602e-05	"yes"
"t12"	0.000241999215478042	0.00604998038695104	"yes"
"t13"	8.2555472718122e-05	0.00239410870882554	"yes"
"t14"	0.452892379305715	1	"no"
"t15"	1.54126899084623e-05	0.000508618766979257	"yes"
"t16"	0.00503869785664035	0.0856578635628859	"no"
"t17"	0.000280587803495943	0.00673410728390264	"yes"
"t18"	0.0470710790309561	0.611924027402429	"no"
"t19"	0.0703106476555645	0.655110565613809	"no"
"t20"	3.83320056081978e-05	0.00118829217385413	"yes"
"t21"	0.000774732520191508	0.0170441154442132	"marginally"
"t22"	8.83545058114716e-12	4.50607979638505e-10	"yes"
"t23"	0.000369922677271117	0.00850822157723568	"yes"
"t24"	0.636799548959906	1	"no"
"t25"	0.00382210881957073	0.0726200675718439	"no"
"t26"	5.96121639803426e-10	2.8017717070761e-08	"yes"
"t27"	7.04721110262678e-10	3.24171710720832e-08	"yes"
"t28"	0.00455101133429303	0.0819182040172745	"no"
"t29"	6.41497378202834e-08	2.43769003717077e-06	"yes"
"t30"	0.000851107487533659	0.0178732572382068	"marginally"
"t31"	0.000186125724840271	0.00502539457068733	"yes"
"t32"	0.0311050012989679	0.453210866143619	"no"
"t33"	0.133043677464833	0.959154951165953	"no"
"t34"	0.163291272968437	0.979747637810621	"no"
"t35"	1.77967778564512e-18	9.96619559961269e-17	"yes"
"t36"	0.0587886565763894	0.655110565613809	"no"
"t37"	9.6488591792418e-05	0.0027016805701877	"yes"
"t38"	0.0302140577429079	0.453210866143619	"no"
"t39"	4.70037766336396e-11	2.30318505504834e-09	"yes"
"t40"	5.06325408774049e-09	2.0253016350962e-07	"yes"
"t41"	0.00269181530189251	0.0538363060378502	"no"
"t42"	1.22391946472252e-09	5.26285369830684e-08	"yes"
"t43"	9.91948020889655e-10	4.36457129191448e-08	"yes"
"t44"	1.46983332572251e-07	5.29139997260105e-06	"yes"
"t45"	0.98126441362219	1	"no"
"t46"	1.14221325213696e-10	5.48262361025739e-09	"yes"
"t47"	7.82447740051117e-23	4.45995211829136e-21	"yes"
"t48"	0.00567681747073356	0.0908290795317369	"no"
"t49"	6.23168381404615e-05	0.00186950514421384	"yes"
"t50"	8.59618082562613e-12	4.47001402932559e-10	"yes"
"t51"	2.89899098691453e-09	1.18858630463496e-07	"yes"
"t52"	0.802227997423266	1	"no"
"t53"	7.54224969598073e-08	2.79063238751287e-06	"yes"
"t54"	2.28889483702059e-09	9.6133583154865e-08	"yes"
"t55"	0.000192509123221129	0.00502539457068733	"yes"
"t56"	0.054592547134484	0.655110565613809	"no"
"t57"	0.0647387866550643	0.655110565613809	"no"
