"Genus" "Count"
"7" "Anemone" 0
"30" "Caryophyllaceae genus 3" 0
"40" "Crataegus" 0
"54" "Empetrum" 0
"64" "Fragaria" 0
"77" "Hylotelephium" 0
"86" "Lonicera" 0
"91" "Magnoliopsida genus seq12720" 0
"93" "Magnoliopsida genus seq12862" 0
"97" "Magnoliopsida genus seq13058" 0
"98" "Magnoliopsida genus seq13101" 0
"99" "Magnoliopsida genus seq13105" 0
"100" "Magnoliopsida genus seq13120" 0
"101" "Magnoliopsida genus seq13159" 0
"102" "Magnoliopsida genus seq14301" 0
"103" "Magnoliopsida genus seq14419" 0
"105" "Magnoliopsida genus seq2144" 0
"106" "Magnoliopsida genus seq2274" 0
"139" "Rhinanthus" 0
"148" "Salicaceae genus seq17493" 0
"149" "Salicaceae genus seq27786" 0
"150" "Salicaceae genus seq28958" 0
"151" "Salicaceae genus seq30493" 0
"152" "Salicaceae genus seq31838" 0
"154" "Sambucus" 0
"157" "seq10826" 0
"159" "seq11002" 0
"171" "seq12964" 0
"185" "seq21238" 0
"186" "seq2138" 0
"187" "seq2246" 0
"188" "seq2681" 0
"189" "seq2714" 0
"195" "seq29423" 0
"203" "seq8001" 0
"204" "seq8630" 0
"208" "Sonchus" 0
"217" "Turritis" 0
"14" "Asteraceae genus 2" 65
"42" "Cupressaceae genus seq24446" 89
"118" "Odontites" 89
"170" "seq12816" 101
"177" "seq13783" 107
"104" "Magnoliopsida genus seq14659" 109
"179" "seq14401" 112
"156" "seq10688" 116
"44" "Cupressaceae genus seq28504" 118
"205" "seq9357" 120
"168" "seq12054" 122
"160" "seq11049" 132
"158" "seq10886" 139
"43" "Cupressaceae genus seq26826" 163
"173" "seq13071" 169
"113" "Molinia" 192
"193" "seq2860" 192
"180" "seq14435" 200
"169" "seq12713" 205
"96" "Magnoliopsida genus seq12944" 215
"166" "seq11783" 217
"165" "seq11757" 225
"12" "Artemisia" 229
"92" "Magnoliopsida genus seq12855" 229
"95" "Magnoliopsida genus seq12934" 290
"175" "seq13344" 293
"174" "seq13151" 335
"94" "Magnoliopsida genus seq12897" 350
"200" "seq3845" 354
"190" "seq2717" 359
"199" "seq3743" 364
"192" "seq2810" 409
"194" "seq2893" 409
"68" "Genista" 446
"117" "Nasturtium" 457
"126" "Pinus" 483
"108" "Medicago" 486
"182" "seq1685" 489
"120" "Ornithopus" 498
"144" "Rosaceae genus seq3796" 552
"181" "seq1664" 579
"143" "Rosaceae genus seq3608" 604
