"","x"
"1","Acer"
"2","Agrimonia"
"3","Agrostis"
"4","Alliaria"
"5","Alnus"
"6","Alopecurus"
"7","Anemone"
"8","Anthoxanthum"
"9","Anthriscus"
"10","Anthyllis"
"11","Arrhenatherum"
"12","Artemisia"
"13","Asteraceae genus 1"
"14","Asteraceae genus 2"
"15","Asteraceae genus 4"
"16","Avenella"
"17","Avenula"
"18","Bellis"
"19","Berula"
"20","Betula"
"21","Brachythecium"
"22","Bromus"
"23","Callianthemum"
"24","Calluna"
"25","Campanula"
"26","Capsella"
"27","Cardamine"
"28","Carex"
"29","Caryophyllaceae genus 2"
"30","Caryophyllaceae genus 3"
"31","Cerastium"
"32","Chaerophyllum"
"33","Chamaenerion"
"34","Chelidonium"
"35","Circaea"
"36","Cirsium"
"37","Comarum"
"38","Convolvulus"
"39","Corylus"
"40","Crataegus"
"41","Crepis"
"42","Cupressaceae unknown genus"
"43","Cynosurus"
"44","Cyperaceae genus 2"
"45","Cyperaceae genus 3"
"46","Cytisus"
"47","Dactylis"
"48","Deschampsia"
"49","Dianthus"
"50","Draba"
"51","Eleocharis"
"52","Empetrum"
"53","Epilobium"
"54","Ericaceae genus 1"
"55","Eriophorum"
"56","Erodium"
"57","Fagaceae genus 1"
"58","Fagus"
"59","Festuca"
"60","Ficaria"
"61","Filipendula"
"62","Fragaria"
"63","Frangula"
"64","Fraxinus"
"65","Galium"
"66","Genista"
"67","Geranium"
"68","Geum"
"69","Glechoma"
"70","Glyceria"
"71","Helictochloa"
"72","Hieracium"
"73","Holcus"
"74","Hottonia"
"75","Hylotelephium"
"76","Hypericum"
"77","Hypnum"
"78","Hypochaeris"
"79","Juncus"
"80","Juniperus"
"81","Knautia"
"82","Linaria"
"83","Lolium"
"84","Lonicera"
"85","Lotus"
"86","Luzula"
"87","Lysimachia"
"88","Lythrum"
"89","Magnoliopsida unknown genus"
"90","Malus"
"91","Medicago"
"92","Melampyrum"
"93","Melica"
"94","Milium"
"95","Moehringia"
"96","Molinia"
"97","Myosotis"
"98","Myrica"
"99","Nardus"
"100","Nasturtium"
"101","Odontites"
"102","Ononis"
"103","Ornithopus"
"104","Persicaria"
"105","Phalaris"
"106","Phleum"
"107","Picea"
"108","Pimpinella"
"109","Pinus"
"110","Plantago"
"111","Poa"
"112","Poaceae genus 1 (agrostis/lachnagrostis/muhlenbergia/polypogon/alopecurus/calmagrostis)"
"113","Poaceae genus 10"
"114","Polygonum"
"115","Populus"
"116","Potentilla"
"117","Prunella"
"118","Prunus"
"119","Pseudoscleropodium"
"120","Quercus"
"121","Ranunculus"
"122","Rhinanthus"
"123","Rosa"
"124","Rosaceae genus 1 (alchemilla/aphanes)"
"125","Rosaceae genus 7 (prunus/amelanchier)"
"126","Rosaceae unknown genus"
"127","Rubus"
"128","Rumex"
"129","Sagina"
"130","Salicaceae unknown genus"
"131","Salix"
"132","Sambucus"
"133","Scorzoneroides"
"134","seq10688 unknown genus"
"135","seq10826 unknown genus"
"136","seq10886 unknown genus"
"137","seq11002 unknown genus"
"138","seq11049 unknown genus"
"139","seq1121 unknown genus"
"140","seq1128 unknown genus"
"141","seq1130 unknown genus"
"142","seq1168 unknown genus"
"143","seq11757 unknown genus"
"144","seq11783 unknown genus"
"145","seq1179 unknown genus"
"146","seq12054 unknown genus"
"147","seq12713 unknown genus"
"148","seq12816 unknown genus"
"149","seq12964 unknown genus"
"150","seq13059 unknown genus"
"151","seq13071 unknown genus"
"152","seq13151 unknown genus"
"153","seq13344 unknown genus"
"154","seq1367 unknown genus"
"155","seq13783 unknown genus"
"156","seq1393 unknown genus"
"157","seq14401 unknown genus"
"158","seq14435 unknown genus"
"159","seq1664 unknown genus"
"160","seq1685 unknown genus"
"161","seq1709 unknown genus"
"162","seq1838 unknown genus"
"163","seq21238 unknown genus"
"164","seq2138 unknown genus"
"165","seq2246 unknown genus"
"166","seq2681 unknown genus"
"167","seq2714 unknown genus"
"168","seq2717 unknown genus"
"169","seq2729 unknown genus"
"170","seq2810 unknown genus"
"171","seq2860 unknown genus"
"172","seq2893 unknown genus"
"173","seq29423 unknown genus"
"174","seq3124 unknown genus"
"175","seq3286 unknown genus"
"176","seq3330 unknown genus"
"177","seq3743 unknown genus"
"178","seq3845 unknown genus"
"179","seq4578 unknown genus"
"180","seq4674 unknown genus"
"181","seq8001 unknown genus"
"182","seq8630 unknown genus"
"183","seq9357 unknown genus"
"184","Sisymbrium"
"185","Solidago"
"186","Sonchus"
"187","Sorbus"
"188","Stellaria"
"189","Taraxacum"
"190","Taxus"
"191","Teesdalia"
"192","Tilia"
"193","Trifolium"
"194","Triglochin"
"195","Turritis"
"196","Urtica"
"197","Vaccinium"
"198","Veronica"
"199","Vicia"
"200","Viola"
