genus;Functional_group
Acer;Trees
Agrimonia;Forbs
Agrostis;Graminoids
Alliaria;Forbs
Alnus;Trees
Alopecurus;Graminoids
Anemone;Forbs
Anthoxanthum;Graminoids
Anthriscus;Forbs
Anthyllis;Forbs
Arrhenatherum;Graminoids
Artemisia;Forbs
Asteraceae genus 1;Forbs
Asteraceae genus 2;Forbs
Asteraceae genus 4;Forbs
Avenella;Graminoids
Avenula;Graminoids
Bellis;Forbs
Berula;Forbs
Betula;Trees
Brachythecium;Mosses
Bromus;Graminoids
Callianthemum;Forbs
Calluna;Shrubs
Campanula;Forbs
Capsella;Forbs
Cardamine;Forbs
Carex;Graminoids
Caryophyllaceae genus 2;Forbs
Caryophyllaceae genus 3;Forbs
Cerastium;Forbs
Chaerophyllum;Forbs
Chamaenerion;Forbs
Chelidonium;Forbs
Circaea;Forbs
Cirsium;Forbs
Comarum;Forbs
Convolvulus;Forbs
Corylus;Shrubs
Crataegus;Trees
Crepis;Forbs
Cupressaceae unknown genus;Shrubs
Cynosurus;Graminoids
Cyperaceae genus 2;Graminoids
Cyperaceae genus 3;Graminoids
Cytisus;Shrubs
Dactylis;Graminoids
Deschampsia;Graminoids
Dianthus;Forbs
Draba;Forbs
Eleocharis;Graminoids
Empetrum;Shrubs
Epilobium;Forbs
Ericaceae genus 1;Mixed
Eriophorum;Graminoids
Erodium;Forbs
Fagaceae genus 1;Trees
Fagus;Trees
Festuca;Graminoids
Ficaria;Forbs
Filipendula;Forbs
Fragaria;Forbs
Frangula;Shrubs
Fraxinus;Trees
Galium;Forbs
Genista;Shrubs
Geranium;Forbs
Geum;Forbs
Glechoma;Forbs
Glyceria;Graminoids
Helictochloa;Graminoids
Hieracium;Forbs
Holcus;Graminoids
Hottonia;Forbs
Hylotelephium;Forbs
Hypericum;Forbs
Hypnum;Mosses
Hypochaeris;Forbs
Juncus;Graminoids
Juniperus;Shrubs
Knautia;Forbs
Linaria;Forbs
Lolium;Graminoids
Lonicera;Shrubs
Lotus;Forbs
Luzula;Graminoids
Lysimachia;Forbs
Lythrum;Forbs
Magnoliopsida unknown genus;unknown
Malus;Trees
Medicago;Forbs
Melampyrum;Forbs
Melica;Graminoids
Milium;Graminoids
Moehringia;Forbs
Molinia;Graminoids
Myosotis;Forbs
Myrica;Shrubs
Nardus;Graminoids
Nasturtium;Forbs
Odontites;Forbs
Ononis;Shrubs
Ornithopus;Forbs
Persicaria;Forbs
Phalaris;Graminoids
Phleum;Graminoids
Picea;Trees
Pimpinella;Forbs
Pinus;Trees
Plantago;Forbs
Poa;Graminoids
Poaceae genus 1 (agrostis/lachnagrostis/muhlenbergia/polypogon/alopecurus/calmagrostis);Graminoids
Poaceae genus 10;Graminoids
Polygonum;Forbs
Populus;Trees
Potentilla;Forbs
Prunella;Forbs
Prunus;Trees
Pseudoscleropodium;Mosses
Quercus;Trees
Ranunculus;Forbs
Rhinanthus;Forbs
Rosa;Shrubs
Rosaceae genus 1 (alchemilla/aphanes);Forbs
Rosaceae genus 7 (prunus/amelanchier);Mixed
Rosaceae unknown genus;Mixed
Rubus;Shrubs
Rumex;Forbs
Sagina;Forbs
Salicaceae unknown genus;Trees
Salix;Trees
Sambucus;Trees
Scorzoneroides;Forbs
seq10688 unknown genus;unknown
seq10826 unknown genus;unknown
seq10886 unknown genus;unknown
seq11002 unknown genus;unknown
seq11049 unknown genus;unknown
seq1121 unknown genus;unknown
seq1128 unknown genus;unknown
seq1130 unknown genus;unknown
seq1168 unknown genus;unknown
seq11757 unknown genus;unknown
seq11783 unknown genus;unknown
seq1179 unknown genus;unknown
seq12054 unknown genus;unknown
seq12713 unknown genus;unknown
seq12816 unknown genus;unknown
seq12964 unknown genus;unknown
seq13059 unknown genus;unknown
seq13071 unknown genus;unknown
seq13151 unknown genus;unknown
seq13344 unknown genus;unknown
seq1367 unknown genus;unknown
seq13783 unknown genus;unknown
seq1393 unknown genus;unknown
seq14401 unknown genus;unknown
seq14435 unknown genus;unknown
seq1664 unknown genus;unknown
seq1685 unknown genus;unknown
seq1709 unknown genus;unknown
seq1838 unknown genus;unknown
seq21238 unknown genus;unknown
seq2138 unknown genus;unknown
seq2246 unknown genus;unknown
seq2681 unknown genus;unknown
seq2714 unknown genus;unknown
seq2717 unknown genus;unknown
seq2729 unknown genus;unknown
seq2810 unknown genus;unknown
seq2860 unknown genus;unknown
seq2893 unknown genus;unknown
seq29423 unknown genus;unknown
seq3124 unknown genus;unknown
seq3286 unknown genus;unknown
seq3330 unknown genus;unknown
seq3743 unknown genus;unknown
seq3845 unknown genus;unknown
seq4578 unknown genus;unknown
seq4674 unknown genus;unknown
seq8001 unknown genus;unknown
seq8630 unknown genus;unknown
seq9357 unknown genus;unknown
Sisymbrium;Forbs
Solidago;Forbs
Sonchus;Forbs
Sorbus;Trees
Stellaria;Forbs
Taraxacum;Forbs
Taxus;Trees
Teesdalia;Forbs
Tilia;Trees
Trifolium;Forbs
Triglochin;Graminoids
Turritis;Forbs
Urtica;Forbs
Vaccinium;Shrubs
Veronica;Forbs
Vicia;Forbs
Viola;Forbs
